Best fit for Melatonin Suppression
Date: Using the Photoreceptor pooling method
Time	
Integration time [ms]	
Illuminance[lx]	
Irradiance[W/sqm]	
CCT [K]: ?
wavelength	response
380	0.00055503
381	0.00062664
382	0.00070862
383	0.00080474
384	0.00091594
385	0.0010441
386	0.0011949
387	0.0013692
388	0.0015719
389	0.0018079
390	0.0021307
391	0.002472
392	0.0028812
393	0.0033794
394	0.003993
395	0.004754
396	0.0057003
397	0.0068635
398	0.008287
399	0.010017
400	0.012101
401	0.0146
402	0.017571
403	0.021078
404	0.025182
405	0.029938
406	0.035401
407	0.041624
408	0.048658
409	0.05654
410	0.065304
411	0.074964
412	0.085556
413	0.097117
414	0.1097
415	0.12333
416	0.13807
417	0.15383
418	0.17049
419	0.18785
420	0.20565
421	0.22364
422	0.24182
423	0.26031
424	0.27933
425	0.29916
426	0.3201
427	0.34202
428	0.36466
429	0.38768
430	0.41063
431	0.43315
432	0.45527
433	0.4772
434	0.49923
435	0.5217
436	0.54491
437	0.56854
438	0.59209
439	0.61499
440	0.63657
441	0.65629
442	0.67441
443	0.69146
444	0.70799
445	0.72469
446	0.74205
447	0.75973
448	0.77715
449	0.79362
450	0.80846
451	0.82113
452	0.83182
453	0.84097
454	0.84906
455	0.85659
456	0.86397
457	0.87125
458	0.87841
459	0.88542
460	0.89223
461	0.89881
462	0.90492
463	0.91041
464	0.91504
465	0.91854
466	0.92086
467	0.92223
468	0.92301
469	0.92359
470	0.92435
471	0.92548
472	0.92693
473	0.92836
474	0.92968
475	0.93061
476	0.93094
477	0.9309
478	0.93057
479	0.93009
480	0.92962
481	0.92932
482	0.9292
483	0.9291
484	0.92949
485	0.92993
486	0.9307
487	0.93197
488	0.93381
489	0.9358
490	0.93841
491	0.9418
492	0.94527
493	0.9493
494	0.95388
495	0.95831
496	0.9631
497	0.96762
498	0.97164
499	0.97605
500	0.98078
501	0.98416
502	0.98766
503	0.9915
504	0.99454
505	0.99601
506	0.99846
507	0.9992
508	1
509	0.99912
510	0.99911
511	0.99731
512	0.99461
513	0.99193
514	0.98843
515	0.98393
516	0.9786
517	0.97328
518	0.96704
519	0.95979
520	0.95255
521	0.94421
522	0.93587
523	0.92643
524	0.91605
525	0.90568
526	0.8942
527	0.88281
528	0.87039
529	0.85798
530	0.84454
531	0.8311
532	0.81766
533	0.80329
534	0.78891
535	0.77454
536	0.76026
537	0.74505
538	0.72984
539	0.71556
540	0.70026
541	0.68479
542	0.66931
543	0.65365
544	0.63706
545	0.62123
546	0.60625
547	0.59025
548	0.57425
549	0.55825
550	0.54328
551	0.52831
552	0.51251
553	0.49866
554	0.4838
555	0.46978
556	0.45512
557	0.44103
558	0.42722
559	0.41371
560	0.40048
561	0.38754
562	0.37489
563	0.36254
564	0.35056
565	0.33888
566	0.3274
567	0.31621
568	0.30541
569	0.29482
570	0.28452
571	0.27452
572	0.26491
573	0.2556
574	0.24642
575	0.23763
576	0.22899
577	0.22065
578	0.2127
579	0.20506
580	0.19779
581	0.19081
582	0.18427
583	0.17794
584	0.17195
585	0.16618
586	0.16061
587	0.15525
588	0.15015
589	0.1452
590	0.14045
591	0.13588
592	0.13153
593	0.12732
594	0.12329
595	0.11936
596	0.11563
597	0.11199
598	0.10846
599	0.10509
600	0.10184
601	0.098733
602	0.095756
603	0.09289
604	0.090102
605	0.087427
606	0.084789
607	0.082255
608	0.079794
609	0.077398
610	0.075081
611	0.072847
612	0.070704
613	0.068614
614	0.066601
615	0.06463
616	0.06271
617	0.060846
618	0.059044
619	0.057301
620	0.055602
621	0.053964
622	0.052374
623	0.050837
624	0.049349
625	0.047913
626	0.046526
627	0.045197
628	0.043899
629	0.042651
630	0.041431
631	0.040256
632	0.039114
633	0.038005
634	0.03694
635	0.0359
636	0.0349
637	0.033929
638	0.032985
639	0.032069
640	0.031164
641	0.030283
642	0.02942
643	0.028583
644	0.02776
