Fluorescent Philips 840 4'000 K									
Date	Measured by Emmi									
Time										
Integration time [ms]									
Illuminance[lx]								
Irradiance[W/sqm]										
CCT [K]	3873,0 K		
Wavelength	"Irradiance [W/(cm^2 nm)]"
380	3.74e-008
381	3.16e-008
382	2.74e-008
383	2.43e-008
384	2.24e-008
385	1.96e-008
386	1.81e-008
387	1.6e-008
388	1.38e-008
389	1.44e-008
390	1.88e-008
391	1.39e-008
392	1.12e-008
393	1.17e-008
394	1.26e-008
395	1.37e-008
396	1.53e-008
397	1.72e-008
398	1.99e-008
399	2.31e-008
400	2.94e-008
401	3.8e-008
402	7.21e-008
403	6.99e-007
404	3.4e-006
405	1.8e-006
406	1.23e-007
407	3.05e-007
408	2.52e-007
409	9.51e-008
410	1.11e-007
411	1.25e-007
412	1.36e-007
413	1.57e-007
414	1.78e-007
415	1.99e-007
416	2.19e-007
417	2.34e-007
418	2.44e-007
419	2.55e-007
420	2.7e-007
421	2.9e-007
422	3.08e-007
423	3.26e-007
424	3.49e-007
425	3.74e-007
426	3.99e-007
427	4.17e-007
428	4.36e-007
429	4.57e-007
430	4.75e-007
431	5.01e-007
432	5.36e-007
433	6.07e-007
434	1.64e-006
435	8.66e-006
436	8.85e-006
437	8.55e-007
438	6.53e-007
439	6.42e-007
440	6.46e-007
441	6.5e-007
442	6.53e-007
443	6.59e-007
444	6.64e-007
445	6.68e-007
446	6.71e-007
447	6.74e-007
448	6.73e-007
449	6.73e-007
450	6.7e-007
451	6.67e-007
452	6.64e-007
453	6.61e-007
454	6.52e-007
455	6.44e-007
456	6.36e-007
457	6.24e-007
458	6.16e-007
459	6.05e-007
460	5.92e-007
461	5.8e-007
462	5.7e-007
463	5.53e-007
464	5.47e-007
465	5.38e-007
466	5.24e-007
467	5.29e-007
468	4.93e-007
469	4.66e-007
470	4.54e-007
471	4.46e-007
472	4.35e-007
473	4.22e-007
474	4.08e-007
475	3.89e-007
476	3.77e-007
477	3.65e-007
478	3.63e-007
479	3.74e-007
480	4.08e-007
481	5.65e-007
482	8.41e-007
483	1.01e-006
484	1.19e-006
485	2.02e-006
486	2.77e-006
487	1.85e-006
488	1.66e-006
489	1.65e-006
490	2.1e-006
491	1.67e-006
492	1.6e-006
493	1.49e-006
494	1.16e-006
495	9.35e-007
496	1.01e-006
497	1.06e-006
498	8.76e-007
499	7.31e-007
500	5.97e-007
501	5.39e-007
502	4.33e-007
503	2.99e-007
504	2.39e-007
505	2.01e-007
506	1.71e-007
507	1.54e-007
508	1.45e-007
509	1.46e-007
510	1.36e-007
511	1.26e-007
512	1.23e-007
513	1.2e-007
514	1.12e-007
515	1.01e-007
516	9.84e-008
517	9.63e-008
518	8.72e-008
519	8.63e-008
520	8.26e-008
521	7.82e-008
522	7.26e-008
523	6.96e-008
524	6.72e-008
525	6.57e-008
526	6.8e-008
527	7.36e-008
528	7.51e-008
529	6.93e-008
530	7.35e-008
531	8.46e-008
532	1.39e-007
533	3.07e-007
534	2.96e-007
535	3.03e-007
536	7.58e-007
537	1.18e-006
538	2.06e-006
539	2.6e-006
540	2.67e-006
541	7.7e-006
542	7.28e-006
543	5.74e-006
544	5.38e-006
545	7.4e-006
546	1.19e-005
547	7.55e-006
548	5.94e-006
549	4.52e-006
550	3.03e-006
551	2.06e-006
552	1.48e-006
553	1.13e-006
554	1.21e-006
555	8.58e-007
556	4.02e-007
557	2.66e-007
558	2.05e-007
559	1.62e-007
560	1.4e-007
561	1.33e-007
562	1.32e-007
563	1.22e-007
564	1.11e-007
565	9.99e-008
566	9.17e-008
567	9.1e-008
568	9.79e-008
569	1e-007
570	8.3e-008
571	7.13e-008
572	7.22e-008
573	7.82e-008
574	8.82e-008
575	1.13e-007
576	4.66e-007
577	1.29e-006
578	7.5e-007
579	1.57e-006
580	1.5e-006
581	1.41e-006
582	1.39e-006
583	1.42e-006
584	1.57e-006
585	1.67e-006
586	1.98e-006
587	2.89e-006
588	2.47e-006
589	1.62e-006
590	1.58e-006
591	1.6e-006
592	1.62e-006
593	2.02e-006
594	1.43e-006
595	8.44e-007
596	7.32e-007
597	6.19e-007
598	6.9e-007
599	9.99e-007
600	1.02e-006
601	6.44e-007
602	4.24e-007
603	3.53e-007
604	3.82e-007
605	4.27e-007
606	4.94e-007
607	6.48e-007
608	9.65e-007
609	1.73e-006
610	4.61e-006
611	1.45e-005
612	1.45e-005
613	6.5e-006
614	4.81e-006
615	4e-006
616	2.5e-006
617	1.64e-006
618	1.4e-006
619	1.33e-006
620	1.19e-006
621	1.27e-006
622	1.21e-006
623	1.22e-006
624	1.25e-006
625	1.34e-006
626	1.35e-006
627	1.29e-006
628	1.1e-006
629	1.14e-006
630	1.62e-006
631	2.4e-006
632	1.58e-006
633	5.56e-007
634	3.34e-007
635	2.78e-007
636	2.46e-007
637	2.2e-007
638	2e-007
639	1.92e-007
640	2.07e-007
641	2.22e-007
642	2.31e-007
643	2.41e-007
644	2.5e-007
645	2.23e-007
646	2.03e-007
647	1.86e-007
648	1.7e-007
649	1.87e-007
650	4.5e-007
651	6.46e-007
652	3.34e-007
653	2.9e-007
654	2.6e-007
655	1.64e-007
656	1.35e-007
657	1.49e-007
658	2.01e-007
659	1.73e-007
660	1.43e-007
661	1.68e-007
662	3.54e-007
663	4.62e-007
664	2.64e-007
665	2.08e-007
666	2.21e-007
667	1.95e-007
668	1.46e-007
669	1.19e-007
670	1.12e-007
671	1.19e-007
672	1.32e-007
673	1.41e-007
674	1.3e-007
675	1.14e-007
676	1.12e-007
677	1.08e-007
678	1.04e-007
679	1.08e-007
680	1.36e-007
681	1.53e-007
682	1.27e-007
683	1.08e-007
684	1.24e-007
685	1.3e-007
686	1.3e-007
687	2.58e-007
688	4.42e-007
689	3.35e-007
690	1.62e-007
691	1.18e-007
692	7.82e-008
693	1.31e-007
694	3.2e-007
695	1.67e-007
696	6.07e-008
697	4.87e-008
698	3.53e-008
699	3.58e-008
700	3.92e-008
701	4.52e-008
702	5.35e-008
703	7.29e-008
704	1.26e-007
705	1.94e-007
706	3.97e-007
707	8.45e-007
708	8.42e-007
709	9.57e-007
710	8.76e-007
711	3e-007
712	5.96e-007
713	9.16e-007
714	3.46e-007
715	8.21e-008
716	4.13e-008
717	3.2e-008
718	2.79e-008
719	2.48e-008
720	2.41e-008
721	2.29e-008
722	2.39e-008
723	2.29e-008
724	2.02e-008
725	2.01e-008
726	2.12e-008
727	2.09e-008
728	2.13e-008
729	1.94e-008
730	1.85e-008
731	1.77e-008
732	1.67e-008
733	1.55e-008
734	1.33e-008
735	1.19e-008
736	1.1e-008
737	1.14e-008
738	1.3e-008
739	2.42e-008
740	1.19e-008
741	1.4e-008
742	2.67e-008
743	4.55e-008
744	3.33e-008
745	1.37e-008
746	1.19e-008
747	2.16e-008
748	1.76e-008
749	7.9e-009
750	8.38e-009
751	2.25e-008
752	2.33e-008
753	1.17e-008
754	8.16e-009
755	4.88e-009
756	3.7e-009
757	3.71e-009
758	5.02e-009
759	3.51e-009
760	3.1e-009
761	2.8e-009
762	3.41e-009
763	7.67e-009
764	5.75e-008
765	2.7e-008
766	5.27e-009
767	4.07e-009
768	4.03e-009
769	3.79e-009
770	4.07e-009
771	3.93e-009
772	6.59e-009
773	2.84e-008
774	1.88e-008
775	7.3e-009
776	4.56e-009
777	2.7e-009
778	1.82e-009
779	1.52e-009
780	2.52e-009
