Osram Biolux 965 Fluorescent 6500K										
Date										
Time										
Integration time [ms]	
Illuminance[lx]										
Irradiance[W/sqm]	
CCT [K]	6500									
wavelength [nm]	Irradiance[W/(sqm*nm)]	
380	7.94
381	7.774
382	7.608
383	7.442
384	7.276
385	7.11
386	7.248
387	7.386
388	7.524
389	7.662
390	7.8
391	7.96
392	8.12
393	8.28
394	8.44
395	8.6
396	8.96
397	9.32
398	9.68
399	10.04
400	10.4
401	25.42
402	40.44
403	55.46
404	70.48
405	85.5
406	72.08
407	58.66
408	45.24
409	31.82
410	18.4
411	18.48
412	18.56
413	18.64
414	18.72
415	18.8
416	19.42
417	20.04
418	20.66
419	21.28
420	21.9
421	22.62
422	23.34
423	24.06
424	24.78
425	25.5
426	26.38
427	27.26
428	28.14
429	29.02
430	29.9
431	73.92
432	117.94
433	161.96
434	205.98
435	250
436	208.42
437	166.84
438	125.26
439	83.68
440	42.1
441	43.66
442	45.22
443	46.78
444	48.34
445	49.9
446	51.56
447	53.22
448	54.88
449	56.54
450	58.2
451	59.82
452	61.44
453	63.06
454	64.68
455	66.3
456	67.54
457	68.78
458	70.02
459	71.26
460	72.5
461	73.42
462	74.34
463	75.26
464	76.18
465	77.1
466	77.8
467	78.5
468	79.2
469	79.9
470	80.6
471	80.92
472	81.24
473	81.56
474	81.88
475	82.2
476	82.34
477	82.48
478	82.62
479	82.76
480	82.9
481	83.4
482	83.9
483	84.4
484	84.9
485	85.4
486	85.1
487	84.8
488	84.5
489	84.2
490	83.9
491	82.94
492	81.98
493	81.02
494	80.06
495	79.1
496	78.26
497	77.42
498	76.58
499	75.74
500	74.9
501	74.12
502	73.34
503	72.56
504	71.78
505	71
506	70.24
507	69.48
508	68.72
509	67.96
510	67.2
511	66.4
512	65.6
513	64.8
514	64
515	63.2
516	62.6
517	62
518	61.4
519	60.8
520	60.2
521	59.54
522	58.88
523	58.22
524	57.56
525	56.9
526	56.48
527	56.06
528	55.64
529	55.22
530	54.8
531	54.54
532	54.28
533	54.02
534	53.76
535	53.5
536	55.76
537	58.02
538	60.28
539	62.54
540	64.8
541	92.64
542	120.48
543	148.32
544	176.16
545	204
546	175.2
547	146.4
548	117.6
549	88.8
550	60
551	58.3
552	56.6
553	54.9
554	53.2
555	51.5
556	51.38
557	51.26
558	51.14
559	51.02
560	50.9
561	50.98
562	51.06
563	51.14
564	51.22
565	51.3
566	51.6
567	51.9
568	52.2
569	52.5
570	52.8
571	54.98
572	57.16
573	59.34
574	61.52
575	63.7
576	66.86
577	70.02
578	73.18
579	76.34
580	79.5
581	75.78
582	72.06
583	68.34
584	64.62
585	60.9
586	61.16
587	61.42
588	61.68
589	61.94
590	62.2
591	62.44
592	62.68
593	62.92
594	63.16
595	63.4
596	63.94
597	64.48
598	65.02
599	65.56
600	66.1
601	66.52
602	66.94
603	67.36
604	67.78
605	68.2
606	68.54
607	68.88
608	69.22
609	69.56
610	69.9
611	70.12
612	70.34
613	70.56
614	70.78
615	71
616	70.98
617	70.96
618	70.94
619	70.92
620	70.9
621	70.7
622	70.5
623	70.3
624	70.1
625	69.9
626	68.96
627	68.02
628	67.08
629	66.14
630	65.2
631	64.42
632	63.64
633	62.86
634	62.08
635	61.3
636	60.46
637	59.62
638	58.78
639	57.94
640	57.1
641	56.2
642	55.3
643	54.4
644	53.5
645	52.6
646	51.82
647	51.04
648	50.26
649	49.48
650	48.7
651	47.5
652	46.3
653	45.1
654	43.9
655	42.7
656	41.94
657	41.18
658	40.42
659	39.66
660	38.9
661	37.94
662	36.98
663	36.02
664	35.06
665	34.1
666	33.42
667	32.74
668	32.06
669	31.38
670	30.7
671	29.94
672	29.18
673	28.42
674	27.66
675	26.9
676	26.38
677	25.86
678	25.34
679	24.82
680	24.3
681	23.54
682	22.78
683	22.02
684	21.26
685	20.5
686	20.22
687	19.94
688	19.66
689	19.38
690	19.1
691	18.28
692	17.46
693	16.64
694	15.82
695	15
696	14.76
697	14.52
698	14.28
699	14.04
700	13.8
701	13.34
702	12.88
703	12.42
704	11.96
705	11.5
706	11.54
707	11.58
708	11.62
709	11.66
710	11.7
711	11.286
712	10.872
713	10.458
714	10.044
715	9.63
716	9.52
717	9.41
718	9.3
719	9.19
720	9.08
721	8.73
722	8.38
723	8.03
724	7.68
725	7.33
726	7.436
727	7.542
728	7.648
729	7.754
730	7.86
731	7.54
732	7.22
733	6.9
734	6.58
735	6.26
736	6.574
737	6.888
738	7.202
739	7.516
740	7.83
741	7.46
742	7.09
743	6.72
744	6.35
745	5.98
746	6.3
747	6.62
748	6.94
749	7.26
750	7.58
751	7.052
752	6.524
753	5.996
754	5.468
755	4.94
756	5.54
757	6.14
758	6.74
759	7.34
760	7.94
761	6.352
762	4.764
763	3.176
764	1.588
765	0.00001
766	0.00001
767	0.00001
768	0.00001
769	0.00001
770	0.00001
771	0.00001
772	0.00001
773	0.00001
774	0.00001
775	0.00001
776	0.00001
777	0.00001
778	0.00001
779	0.00001
780	0.00001
