Fluorescent Activiva 17'000 K	
Date	
Time	
Integration time [ms]	
Illuminance[lx]	
Irradiance[W/sqm]	
CCT [K]	
Wavelength	Norm.
380	0.0008796788
381	0.0007857514
382	0.0006918241
383	0.0006301498
384	0.0006007286
385	0.000559579
386	0.000535784
387	0.0005031927
388	0.0004735335
389	0.0005289052
390	0.0006898324
391	0.0005959351
392	0.0006075934
393	0.0007101467
394	0.0008302926
395	0.0009856237
396	0.0011878459
397	0.0014311174
398	0.0017418272
399	0.0021346358
400	0.0026828456
401	0.0039631089
402	0.0068413661
403	0.0379850553
404	0.1494389297
405	0.0662014461
406	0.0123482706
407	0.0220629964
408	0.017908895
409	0.0118489293
410	0.0130605687
411	0.0147857103
412	0.0166867779
413	0.0188517343
414	0.0214271846
415	0.0239146719
416	0.0265930658
417	0.0291541756
418	0.0316859645
419	0.0345402843
420	0.037394604
421	0.0407144783
422	0.0437411428
423	0.0470610171
424	0.0503808914
425	0.0537007657
426	0.0572861711
427	0.0605783666
428	0.064163772
429	0.0677491774
430	0.0710413729
431	0.0771972958
432	0.0839396385
433	0.0924412405
434	0.1455107437
435	0.4325617284
436	0.3604478711
437	0.1062506804
438	0.1015750946
439	0.1007112373
440	0.1001405898
441	0.1019446919
442	0.103455584
443	0.1049664762
444	0.1061841584
445	0.1071086308
446	0.1076323016
447	0.1081559724
448	0.1083864334
449	0.1083236844
450	0.1082609355
451	0.1077873649
452	0.1070205844
453	0.105960594
454	0.1049006037
455	0.1035474034
456	0.102206852
457	0.0999866709
458	0.0983529095
459	0.0964259383
460	0.0944989671
461	0.0921685655
462	0.0901313739
463	0.0875077624
464	0.0851773609
465	0.0828469594
466	0.0804864977
467	0.078126036
468	0.0751791546
469	0.0728186929
470	0.0701650214
471	0.06786468
472	0.0652711287
473	0.0629707873
474	0.0606704458
475	0.0580768945
476	0.0559268537
477	0.0537768129
478	0.0522131918
479	0.0506495707
480	0.0502587892
481	0.0553736176
482	0.0634205448
483	0.0676557436
484	0.0721841523
485	0.1025150301
486	0.1175314827
487	0.088273244
488	0.0804193263
489	0.0822413345
490	0.0934460588
491	0.0783817573
492	0.0759254806
493	0.0696574754
494	0.056938853
495	0.0494980084
496	0.0515340681
497	0.0512244489
498	0.0435845827
499	0.0379971857
500	0.0327029986
501	0.0305406214
502	0.0257393553
503	0.0208208052
504	0.0181306502
505	0.0161441989
506	0.0145739411
507	0.0134728191
508	0.012606265
509	0.0119156368
510	0.0111077247
511	0.0104348697
512	0.0098792987
513	0.0093823697
514	0.0087974777
515	0.0081832647
516	0.0077943387
517	0.0074347337
518	0.0069871657
519	0.0066862027
520	0.0063559186
521	0.0059760107
522	0.0056547447
523	0.0054214416
524	0.0051588176
525	0.0049548356
526	0.0048528446
527	0.0048094955
528	0.0046781835
529	0.0044882295
530	0.0045035225
531	0.0049149688
532	0.0061767238
533	0.009344343
534	0.0092573326
535	0.0130113715
536	0.0300500662
537	0.0448896868
538	0.0761197395
539	0.0897571996
540	0.1089656473
541	0.276961763
542	0.2385381256
543	0.1992348586
544	0.1910118385
545	0.3109215344
546	0.4879859719
547	0.2659917675
548	0.2026241062
549	0.1518644697
550	0.1011048331
551	0.0697031903
552	0.0497367327
553	0.0391529912
554	0.0408840644
555	0.0271043352
556	0.0137686329
557	0.0096690418
558	0.0075339568
559	0.0060439335
560	0.0050230461
561	0.0046205306
562	0.004276657
563	0.0038741415
564	0.0035302679
565	0.0031863944
566	0.002928649
567	0.0028878788
568	0.0030083742
569	0.0030027892
570	0.0026746734
571	0.0026600012
572	0.0029062857
573	0.003205348
574	0.00367154
575	0.0047564048
576	0.0226383631
577	0.0528644573
578	0.0313683293
579	0.064995658
580	0.0458452089
581	0.0406686336
582	0.040769836
583	0.0438031371
584	0.0518210062
585	0.0551475173
586	0.0632902595
587	0.0770039895
588	0.0643288305
589	0.0501876222
590	0.0501204879
591	0.0472130619
592	0.0413735372
593	0.0431574693
594	0.0293426359
595	0.0196327408
596	0.017316971
597	0.0135937938
598	0.0142394437
599	0.0186088591
600	0.0177004967
601	0.0114939286
602	0.0081314963
603	0.0070267801
604	0.0075347182
605	0.0082479032
606	0.0095965697
607	0.0126458534
608	0.018480631
609	0.0330530629
610	0.0866517294
611	0.2525383792
612	0.2222676217
613	0.1046203209
614	0.0825594399
615	0.0698812749
616	0.0467728049
617	0.0359791497
618	0.03574105
619	0.0366757899
620	0.0335055914
621	0.0366988359
622	0.0340278829
623	0.0328229793
624	0.0324977053
625	0.0348113202
626	0.0344189119
627	0.0302147752
628	0.0233424287
629	0.0241521809
630	0.0340221183
631	0.0436047577
632	0.0258015945
633	0.0103734314
634	0.0068202683
635	0.0057593891
636	0.0051763762
637	0.0047106472
638	0.0044501651
639	0.004453572
640	0.0051606825
641	0.0056698607
642	0.005944471
643	0.0063950073
644	0.0066109757
645	0.0057127465
646	0.0051445255
647	0.0048988353
648	0.0042719723
649	0.004407455
650	0.0089704069
651	0.011396634
652	0.0064339723
653	0.0059281006
654	0.0052756241
655	0.0037141969
656	0.0033142241
657	0.003676597
658	0.0045081057
659	0.0041960959
660	0.003972049
661	0.0046860734
662	0.0082149125
663	0.0089875789
664	0.0057432699
665	0.0056949485
666	0.0065567425
667	0.0054247093
668	0.0038528613
669	0.0031313219
670	0.0029551529
671	0.0032305698
672	0.0037874681
673	0.0041977616
674	0.0039043513
675	0.0034056941
676	0.0033503587
677	0.0032657024
678	0.0030461695
679	0.0031843527
680	0.0041845728
681	0.0047380644
682	0.0038255066
683	0.0031768376
684	0.0036716872
685	0.003697401
686	0.0032314716
687	0.0054044311
688	0.0086329461
689	0.0068768933
690	0.003772075
691	0.0032824482
692	0.0019894264
693	0.0028251082
694	0.0055666543
695	0.0028369041
696	0.001311738
697	0.0011705225
698	0.0008387207
699	0.0007971966
700	0.0008524317
701	0.0009445004
702	0.0011010753
703	0.0014247798
704	0.0023759535
705	0.0035265098
706	0.0073806854
707	0.0146360956
708	0.0136816293
709	0.0165975333
710	0.0135905979
711	0.0051295602
712	0.0109478436
713	0.0146550158
714	0.0051970646
715	0.0013892677
716	0.0008050511
717	0.0006166678
718	0.0005367721
719	0.000500858
720	0.0004913327
721	0.0004678558
722	0.0004912926
723	0.0004472911
724	0.0004208821
725	0.00041793
726	0.0004266962
727	0.0004325304
728	0.0004618213
729	0.0004090135
730	0.0003620698
731	0.0003591177
732	0.0003209804
733	0.0003039541
734	0.0002869279
735	0.0002540684
736	0.0002396811
737	0.0002590129
738	0.00037657
739	0.0006785561
740	0.0002726852
741	0.0002808951
742	0.0004691358
743	0.0007300926
744	0.0005307099
745	0.0002483488
746	0.0002313426
747	0.0003841049
748	0.0003108025
749	0.0001624383
750	0.0002671142
751	0.0007095679
752	0.0007037037
753	0.0002606636
754	0.000171821
755	0.0001149383
756	8.12191358024691E-005
757	9.29475308641975E-005
758	0.0001105401
759	6.86111111111111E-005
760	6.83179012345679E-005
761	0.000083858
762	7.35956790123457E-005
763	0.0002665278
764	0.0017885802
765	0.0006567901
766	8.56172839506173E-005
767	7.94598765432099E-005
768	8.26851851851852E-005
769	8.00462962962963E-005
770	0.000078287
771	9.70524691358025E-005
772	0.0001782716
773	0.0009236111
774	0.0005189815
775	0.0001451389
776	0.0001070216
777	5.07253086419753E-005
778	8.91358024691358E-005
779	0.000069784
780	6.45061728395062E-005
