"Halogen Tungsten Truck headlights"	
Date	"26.02.2007 (http://spectral.joensuu.fi/database/artlights/readme.txt)"
Time	23:40:00
"Integration time [ms]"	
Illuminance[lx]	
Irradiance[W/sqm]	
"CCT [K]"	
"wavelength [nm]"	Irradiance[W/(sqm*nm)]
380	0.001049
381	0.001152
382	0.001255
383	0.0013295
384	0.001404
385	0.0014405
386	0.001477
387	0.0016015
388	0.001726
389	0.001827
390	0.001928
391	0.001936
392	0.001944
393	0.00207
394	0.002196
395	0.002203
396	0.00221
397	0.0022575
398	0.002305
399	0.0023665
400	0.002428
401	0.0025565
402	0.002685
403	0.0027065
404	0.002728
405	0.0028335
406	0.002939
407	0.0029845
408	0.00303
409	0.0031135
410	0.003197
411	0.003248
412	0.003299
413	0.0033355
414	0.003372
415	0.003462
416	0.003552
417	0.0036535
418	0.003755
419	0.0038535
420	0.003952
421	0.003984
422	0.004016
423	0.004056
424	0.004096
425	0.004188
426	0.00428
427	0.0043565
428	0.004433
429	0.0045295
430	0.004626
431	0.0046935
432	0.004761
433	0.004839
434	0.004917
435	0.0050415
436	0.005166
437	0.005241
438	0.005316
439	0.005396
440	0.005476
441	0.0055635
442	0.005651
443	0.00573
444	0.005809
445	0.0058875
446	0.005966
447	0.006084
448	0.006202
449	0.006307
450	0.006412
451	0.0064995
452	0.006587
453	0.0066685
454	0.00675
455	0.0068165
456	0.006883
457	0.006963
458	0.007043
459	0.007152
460	0.007261
461	0.0073675
462	0.007474
463	0.007581
464	0.007688
465	0.0078245
466	0.007961
467	0.0080925
468	0.008224
469	0.0083485
470	0.008473
471	0.008616
472	0.008759
473	0.008825
474	0.008891
475	0.008983
476	0.009075
477	0.0091535
478	0.009232
479	0.009337
480	0.009442
481	0.009508
482	0.009574
483	0.0096955
484	0.009817
485	0.0099335
486	0.01005
487	0.01021
488	0.01037
489	0.01051
490	0.01065
491	0.010775
492	0.0109
493	0.011045
494	0.01119
495	0.01133
496	0.01147
497	0.011575
498	0.01168
499	0.01182
500	0.01196
501	0.012065
502	0.01217
503	0.01231
504	0.01245
505	0.01257
506	0.01269
507	0.012795
508	0.0129
509	0.013025
510	0.01315
511	0.01326
512	0.01337
513	0.013485
514	0.0136
515	0.013705
516	0.01381
517	0.01393
518	0.01405
519	0.014145
520	0.01424
521	0.01437
522	0.0145
523	0.014645
524	0.01479
525	0.01498
526	0.01517
527	0.015335
528	0.0155
529	0.01566
530	0.01582
531	0.01597
532	0.01612
533	0.016255
534	0.01639
535	0.01651
536	0.01663
537	0.016765
538	0.0169
539	0.01699
540	0.01708
541	0.017175
542	0.01727
543	0.01739
544	0.01751
545	0.017615
546	0.01772
547	0.01778
548	0.01784
549	0.017945
550	0.01805
551	0.01819
552	0.01833
553	0.0185
554	0.01867
555	0.018825
556	0.01898
557	0.01917
558	0.01936
559	0.019515
560	0.01967
561	0.019825
562	0.01998
563	0.020175
564	0.02037
565	0.020505
566	0.02064
567	0.020775
568	0.02091
569	0.021005
570	0.0211
571	0.0212
572	0.0213
573	0.021415
574	0.02153
575	0.021635
576	0.02174
577	0.02181
578	0.02188
579	0.02203
