Colored LED
Date: Taken from the Claude Operating Room Project									
Time										
Integration time [ms]									
Illuminance[lx]										
Irradiance[W/sqm]										
CCT [K]: x
wavelength [nm]	Irradiance[W/(sqm*nm)]	
380	4.1e-05
381	3e-05
382	2e-05
383	2.9e-05
384	2.9e-05
385	2.8e-05
386	-9e-06
387	2.7e-05
388	1.8e-05
389	1.8e-05
390	2.7e-05
391	4.4e-05
392	1.7e-05
393	1.7e-05
394	4.2e-05
395	3.3e-05
396	3.3e-05
397	3.2e-05
398	4e-05
399	1.6e-05
400	8e-06
401	3.1e-05
402	3e-05
403	1.5e-05
404	2.2e-05
405	3.6e-05
406	2.8e-05
407	2.8e-05
408	3.4e-05
409	5.4e-05
410	4.6e-05
411	3.9e-05
412	3.8e-05
413	6.3e-05
414	4.3e-05
415	4.9e-05
416	6.7e-05
417	7.7e-05
418	0.000112
419	0.000128
420	0.000133
421	0.000175
422	0.0002
423	0.000209
424	0.000257
425	0.000364
426	0.000391
427	0.000484
428	0.000514
429	0.000597
430	0.000792
431	0.000941
432	0.001052
433	0.001172
434	0.001562
435	0.001795
436	0.001981
437	0.002253
438	0.002881
439	0.003235
440	0.00364
441	0.004127
442	0.004591
443	0.005828
444	0.006498
445	0.007132
446	0.007997
447	0.0098
448	0.010634
449	0.011517
450	0.0125
451	0.014049
452	0.014638
453	0.015204
454	0.015342
455	0.0155
456	0.01528
457	0.014848
458	0.014224
459	0.012934
460	0.012088
461	0.011308
462	0.010427
463	0.009108
464	0.008424
465	0.007881
466	0.007328
467	0.006827
468	0.006094
469	0.005649
470	0.00531
471	0.004987
472	0.004329
473	0.004022
474	0.003707
475	0.003431
476	0.002887
477	0.002665
478	0.002449
479	0.002241
480	0.001899
481	0.001763
482	0.001611
483	0.001472
484	0.001272
485	0.001193
486	0.001103
487	0.001005
488	0.000896
489	0.000799
490	0.000756
491	0.000685
492	0.000638
493	0.000553
494	0.000518
495	0.000462
496	0.000418
497	0.000367
498	0.000337
499	0.000316
500	0.000291
501	0.000249
502	0.000223
503	0.000222
504	0.000188
505	0.00018
506	0.000155
507	0.000142
508	0.000138
509	0.000126
510	0.000113
511	0.000105
512	0.000104
513	8e-05
514	9.2e-05
515	8e-05
516	8e-05
517	6.8e-05
518	5.5e-05
519	5.5e-05
520	5.9e-05
521	4.3e-05
522	5.1e-05
523	3.9e-05
524	4.3e-05
525	4.3e-05
526	4.3e-05
527	4.6e-05
528	4.2e-05
529	4.2e-05
530	3.1e-05
531	2.7e-05
532	2.7e-05
533	3e-05
534	2.6e-05
535	2.6e-05
536	2.2e-05
537	2.2e-05
538	2.6e-05
539	2.6e-05
540	2.6e-05
541	2.2e-05
542	2.2e-05
543	2.2e-05
544	1.9e-05
545	1.9e-05
546	1.5e-05
547	1.9e-05
548	1.5e-05
549	2.6e-05
550	1.8e-05
551	1.8e-05
552	1.1e-05
553	2.2e-05
554	2.2e-05
555	7e-06
556	1.1e-05
557	1.8e-05
558	1.5e-05
559	1.1e-05
560	7e-06
561	1.5e-05
562	7e-06
563	7e-06
564	7e-06
565	0
566	1.1e-05
567	1.1e-05
568	1.1e-05
569	4e-06
570	4e-06
571	7e-06
572	1.1e-05
573	7e-06
574	-4e-06
575	1.5e-05
576	4e-06
577	7e-06
578	7e-06
579	0
580	7e-06
581	1.1e-05
582	4e-06
583	7e-06
584	4e-06
585	4e-06
586	1.1e-05
587	7e-06
588	1.5e-05
589	0
590	-4e-06
591	0
592	1.1e-05
593	4e-06
594	7e-06
595	7e-06
596	1.1e-05
597	7e-06
598	7e-06
599	1.1e-05
600	7e-06
601	1.1e-05
602	0
603	4e-06
604	7e-06
605	7e-06
606	7e-06
607	1.1e-05
608	1.9e-05
609	0
610	8e-06
611	0
612	4e-06
613	0
614	0
615	0
616	-8e-06
617	-8e-06
618	8e-06
619	0
620	1.6e-05
621	8e-06
622	4e-06
623	1.6e-05
624	8e-06
625	4e-06
626	-4e-06
627	1.2e-05
628	8e-06
629	4e-06
630	1.2e-05
631	8e-06
632	1.2e-05
633	4e-06
634	4e-06
635	4e-06
636	-4e-06
637	8e-06
638	0
639	0
640	0
641	8e-06
642	8e-06
643	-4e-06
644	4e-06
645	1.7e-05
646	4e-06
647	8e-06
648	4e-06
649	8e-06
650	8e-06
651	4e-06
652	8e-06
653	4e-06
654	4e-06
655	9e-06
656	0
657	9e-06
658	4e-06
659	-9e-06
660	4e-06
661	4e-06
662	9e-06
663	0
664	0
665	4e-06
666	9e-06
667	4e-06
668	9e-06
669	-9e-06
670	4e-06
671	0
672	-1.3e-05
673	9e-06
674	0
675	5e-06
676	5e-06
677	-5e-06
678	-5e-06
679	0
680	-5e-06
681	0
682	0
683	0
684	9e-06
685	-5e-06
686	5e-06
687	1.4e-05
688	0
689	0
690	1e-05
691	-5e-06
692	0
693	5e-06
694	0
695	0
696	-5e-06
697	0
698	-5e-06
699	-1e-05
700	1e-05
701	2.1e-05
702	1e-05
703	0
704	5e-06
705	0
706	0
707	1.1e-05
708	0
709	1.1e-05
710	2.2e-05
711	1.6e-05
712	5e-06
713	-1.1e-05
714	0
715	6e-06
716	1.1e-05
717	0
718	6e-06
719	1.7e-05
720	-6e-06
721	6e-06
722	6e-06
723	-1.2e-05
724	6e-06
725	6e-06
726	0
727	0
728	1.2e-05
729	-6e-06
730	-1.2e-05
731	6e-06
732	6e-06
733	-1.9e-05
734	0
735	6e-06
736	6e-06
737	1.2e-05
738	-6e-06
739	0
740	6e-06
741	-6e-06
742	-6e-06
743	6e-06
744	0
745	-6e-06
746	-6e-06
747	-6e-06
748	7e-06
749	-1.3e-05
750	0
751	-7e-06
752	-2e-05
753	0
754	-7e-06
755	0
756	7e-06
757	-7e-06
758	-7e-06
759	-2.1e-05
760	-7e-06
761	-1.4e-05
762	-1.4e-05
763	-2.1e-05
764	-7e-06
765	0
766	-7e-06
767	-7e-06
768	0
769	-7e-06
770	-7e-06
771	7e-06
772	-2.2e-05
773	0
774	7e-06
775	-1.5e-05
776	-8e-06
777	0
778	-8e-06
779	-2.3e-05
780	1.5e-05
