Colored LED
Date: Taken from the Claude Operating Room Project									
Time										
Integration time [ms]									
Illuminance[lx]										
Irradiance[W/sqm]										
CCT [K]: x
wavelength [nm]	Irradiance[W/(sqm*nm)]	
380	1e-06
381	1e-06
382	4e-06
383	1e-06
384	1e-06
385	2e-06
386	1e-06
387	1e-06
388	0
389	1e-06
390	2e-06
391	2e-06
392	1e-06
393	0
394	2e-06
395	2e-06
396	1e-06
397	1e-06
398	1e-06
399	4e-06
400	2e-06
401	1e-06
402	2e-06
403	3e-06
404	3e-06
405	2e-06
406	1e-06
407	2e-06
408	2e-06
409	2e-06
410	1e-06
411	2e-06
412	3e-06
413	3e-06
414	2e-06
415	2e-06
416	3e-06
417	2e-06
418	2e-06
419	3e-06
420	2e-06
421	2e-06
422	2e-06
423	2e-06
424	1e-06
425	1e-06
426	1e-06
427	2e-06
428	1e-06
429	1e-06
430	2e-06
431	2e-06
432	2e-06
433	2e-06
434	2e-06
435	2e-06
436	2e-06
437	2e-06
438	4e-06
439	4e-06
440	5e-06
441	5e-06
442	5e-06
443	6e-06
444	6e-06
445	7e-06
446	8e-06
447	1e-05
448	1e-05
449	1.1e-05
450	1.3e-05
451	1.6e-05
452	1.9e-05
453	2e-05
454	2.4e-05
455	3.2e-05
456	3.4e-05
457	3.8e-05
458	4.1e-05
459	5.2e-05
460	6.1e-05
461	6.5e-05
462	7.7e-05
463	9.2e-05
464	0.000104
465	0.000118
466	0.00013
467	0.000146
468	0.000183
469	0.000202
470	0.000222
471	0.000249
472	0.000303
473	0.000341
474	0.000381
475	0.000416
476	0.000509
477	0.000564
478	0.000615
479	0.000681
480	0.000814
481	0.000892
482	0.000974
483	0.001058
484	0.001248
485	0.001343
486	0.001447
487	0.001552
488	0.001785
489	0.00191
490	0.002015
491	0.002144
492	0.002255
493	0.002495
494	0.002586
495	0.002701
496	0.002781
497	0.002928
498	0.002984
499	0.00304
500	0.003093
501	0.003137
502	0.00312
503	0.003113
504	0.00309
505	0.003008
506	0.002945
507	0.002884
508	0.002808
509	0.002646
510	0.002575
511	0.002494
512	0.002391
513	0.002204
514	0.00211
515	0.002021
516	0.001938
517	0.001861
518	0.001689
519	0.001605
520	0.00153
521	0.001472
522	0.001322
523	0.00127
524	0.00121
525	0.001144
526	0.001038
527	0.000982
528	0.000937
529	0.000881
530	0.000796
531	0.000747
532	0.000711
533	0.000659
534	0.000603
535	0.000567
536	0.000541
537	0.000504
538	0.000455
539	0.000423
540	0.000402
