Colored LED
Date: Taken from the Claude Operating Room Project									
Time										
Integration time [ms]									
Illuminance[lx]										
Irradiance[W/sqm]										
CCT [K]: x
wavelength [nm]	Irradiance[W/(sqm*nm)]	
380	5e-06
381	0
382	0
383	2e-06
384	3e-06
385	1e-06
386	1e-06
387	3e-06
388	0
389	2e-06
390	2e-06
391	1e-06
392	5e-06
393	2e-06
394	2e-06
395	2e-06
396	4e-06
397	2e-06
398	3e-06
399	3e-06
400	3e-06
401	3e-06
402	3e-06
403	3e-06
404	3e-06
405	3e-06
406	2e-06
407	2e-06
408	4e-06
409	3e-06
410	2e-06
411	4e-06
412	4e-06
413	5e-06
414	3e-06
415	4e-06
416	4e-06
417	5e-06
418	5e-06
419	4e-06
420	4e-06
421	4e-06
422	6e-06
423	5e-06
424	5e-06
425	6e-06
426	5e-06
427	7e-06
428	5e-06
429	6e-06
430	5e-06
431	6e-06
432	6e-06
433	7e-06
434	6e-06
435	5e-06
436	5e-06
437	6e-06
438	6e-06
439	5e-06
440	6e-06
441	6e-06
442	5e-06
443	6e-06
444	6e-06
445	5e-06
446	5e-06
447	6e-06
448	5e-06
449	5e-06
450	5e-06
451	5e-06
452	6e-06
453	7e-06
454	7e-06
455	8e-06
456	6e-06
457	7e-06
458	8e-06
459	9e-06
460	1e-05
461	1.1e-05
462	1.3e-05
463	1.5e-05
464	1.7e-05
465	1.7e-05
466	1.9e-05
467	2.1e-05
468	2.7e-05
469	3.1e-05
470	3.2e-05
471	3.7e-05
472	4.6e-05
473	5.1e-05
474	5.7e-05
475	6.3e-05
476	8.1e-05
477	8.8e-05
478	9.8e-05
479	0.000109
480	0.000132
481	0.00015
482	0.000168
483	0.000185
484	0.000229
485	0.000252
486	0.000284
487	0.000315
488	0.000386
489	0.000426
490	0.000477
491	0.000525
492	0.000587
493	0.000718
494	0.000794
495	0.000882
496	0.000971
497	0.001199
498	0.001321
499	0.001461
500	0.00162
501	0.001934
502	0.002131
503	0.002318
504	0.00254
505	0.002975
506	0.003197
507	0.003435
508	0.003656
509	0.004096
510	0.004317
511	0.004509
512	0.004682
513	0.004967
514	0.005078
515	0.005174
516	0.005215
517	0.00525
518	0.005201
519	0.005133
520	0.005055
521	0.004952
522	0.004713
523	0.004572
524	0.004429
525	0.004255
526	0.003933
527	0.003792
528	0.003626
529	0.003472
530	0.00318
531	0.003045
532	0.002922
533	0.002799
534	0.002554
535	0.002439
536	0.002342
537	0.002238
538	0.002039
539	0.001935
540	0.001851
541	0.001749
542	0.001671
543	0.001499
544	0.00142
545	0.001345
546	0.00127
547	0.001136
548	0.001072
549	0.001011
550	0.000904
551	0.000853
552	0.000801
553	0.000762
554	0.000676
555	0.000646
556	0.000602
557	0.000573
558	0.00052
559	0.000491
560	0.000464
561	0.000435
562	0.000389
563	0.000375
564	0.000348
565	0.000331
566	0.0003
567	0.00028
568	0.000264
569	0.000249
570	0.000221
571	0.000209
572	0.000199
573	0.000186
574	0.000168
575	0.000156
576	0.000147
577	0.000131
578	0.000125
579	0.000118
580	0.000112
581	0.000101
582	9.5e-05
583	8.9e-05
584	8.8e-05
585	7.6e-05
586	7.4e-05
587	6.8e-05
588	6.5e-05
589	5.8e-05
590	5.8e-05
591	5.4e-05
592	5e-05
593	4.5e-05
594	4.4e-05
595	4.2e-05
596	3.8e-05
597	3.3e-05
598	3.4e-05
599	3.2e-05
600	3.1e-05
601	2.7e-05
602	2.5e-05
603	2.4e-05
604	2.3e-05
605	2e-05
606	2.1e-05
607	1.9e-05
608	1.8e-05
609	1.6e-05
610	1.5e-05
611	1.5e-05
612	1.4e-05
613	1.3e-05
614	1.3e-05
615	1.1e-05
616	1.1e-05
617	1e-05
618	1.1e-05
619	1e-05
620	9e-06
621	8e-06
622	9e-06
623	9e-06
624	7e-06
625	6e-06
626	7e-06
627	7e-06
