Colored LED
Date: Taken from the Claude Operating Room Project									
Time										
Integration time [ms]									
Illuminance[lx]										
Irradiance[W/sqm]										
CCT [K]: x
wavelength [nm]	Irradiance[W/(sqm*nm)]	
380	0
381	-1e-06
382	-1e-06
383	0
384	-1e-06
385	1e-06
386	0
387	1e-06
388	1e-06
389	1e-06
390	2e-06
391	0
392	2e-06
393	1e-06
394	0
395	2e-06
396	2e-06
397	0
398	-1e-06
399	0
400	0
401	1e-06
402	0
403	0
404	0
405	0
406	1e-06
407	1e-06
408	0
409	1e-06
410	1e-06
411	2e-06
412	0
413	-1e-06
414	1e-06
415	1e-06
416	0
417	-1e-06
418	-1e-06
419	0
420	1e-06
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	1e-06
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	1e-06
445	0
446	-1e-06
447	-1e-06
448	0
449	0
450	0
451	0
452	0
453	1e-06
454	0
455	0
456	0
457	-1e-06
458	0
459	-1e-06
460	0
461	1e-06
462	1e-06
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	-1e-06
472	0
473	0
474	0
475	1e-06
476	0
477	1e-06
478	1e-06
479	0
480	0
481	0
482	0
483	-1e-06
484	0
485	0
486	0
487	0
488	2e-06
489	1e-06
490	0
491	0
492	0
493	0
494	1e-06
495	1e-06
496	0
497	0
498	0
499	-1e-06
500	0
501	0
502	0
503	1e-06
504	0
505	0
506	0
507	0
508	0
509	1e-06
510	1e-06
511	0
512	0
513	0
514	1e-06
515	1e-06
516	1e-06
517	1e-06
518	0
519	0
520	0
521	0
522	1e-06
523	1e-06
524	1e-06
525	0
526	0
527	1e-06
528	1e-06
529	0
530	1e-06
531	0
532	1e-06
533	2e-06
534	1e-06
535	1e-06
536	2e-06
537	1e-06
538	2e-06
539	2e-06
540	2e-06
541	3e-06
542	3e-06
543	4e-06
544	5e-06
545	5e-06
546	5e-06
547	6e-06
548	8e-06
549	8e-06
550	1e-05
551	1.2e-05
552	1.2e-05
553	1.4e-05
554	1.7e-05
555	2e-05
556	2.2e-05
557	2.4e-05
558	3e-05
559	3.2e-05
560	3.6e-05
561	4.1e-05
562	5e-05
563	5.6e-05
564	6.3e-05
565	6.9e-05
566	8.4e-05
567	9.5e-05
568	0.000105
569	0.000114
570	0.000146
571	0.00016
572	0.000181
573	0.000196
574	0.000242
575	0.000273
576	0.000299
577	0.000367
578	0.000412
579	0.000454
580	0.000504
581	0.000622
582	0.000688
583	0.000753
584	0.000838
585	0.001019
586	0.001116
587	0.001233
588	0.001354
589	0.00162
590	0.001763
591	0.001903
592	0.00203
593	0.00224
594	0.002288
595	0.002289
596	0.002238
597	0.001961
598	0.001786
599	0.001577
600	0.001388
601	0.00104
602	0.000896
603	0.000768
604	0.000564
605	0.000485
606	0.000415
607	0.000362
608	0.000262
609	0.000225
610	0.00019
611	0.000164
612	0.000123
613	0.000105
614	9.2e-05
615	7.9e-05
616	6e-05
617	5.3e-05
618	4.8e-05
619	4.2e-05
620	3.2e-05
621	3e-05
622	2.6e-05
623	2.3e-05
624	1.8e-05
625	1.5e-05
626	1.4e-05
627	1.2e-05
628	9e-06
629	8e-06
630	8e-06
631	6e-06
632	6e-06
633	5e-06
634	5e-06
635	3e-06
636	3e-06
637	3e-06
638	3e-06
639	3e-06
640	2e-06
641	2e-06
642	3e-06
643	1e-06
644	1e-06
645	2e-06
646	1e-06
647	0
648	2e-06
649	1e-06
650	2e-06
651	1e-06
652	2e-06
653	1e-06
654	0
655	1e-06
656	0
657	1e-06
658	2e-06
659	0
660	0
661	0
662	0
663	1e-06
664	0
665	1e-06
666	0
667	0
668	0
669	0
670	0
671	1e-06
672	0
673	0
674	1e-06
675	1e-06
676	0
677	1e-06
678	0
679	1e-06
680	0
681	2e-06
682	1e-06
683	1e-06
684	0
685	0
686	0
687	1e-06
688	0
689	1e-06
690	0
691	0
692	0
693	1e-06
694	1e-06
695	2e-06
696	0
697	1e-06
698	1e-06
699	1e-06
700	1e-06
701	1e-06
702	-1e-06
703	1e-06
704	-1e-06
705	0
706	0
707	1e-06
708	0
709	1e-06
710	1e-06
711	1e-06
712	1e-06
713	1e-06
714	1e-06
715	1e-06
716	0
717	0
718	-1e-06
719	1e-06
720	-1e-06
721	-1e-06
722	2e-06
723	-1e-06
724	2e-06
725	1e-06
726	-1e-06
727	-1e-06
728	1e-06
729	1e-06
730	0
731	0
732	0
733	0
734	-1e-06
735	-1e-06
736	-1e-06
737	-1e-06
738	-1e-06
739	1e-06
740	-2e-06
741	-1e-06
742	-1e-06
743	1e-06
744	2e-06
745	-1e-06
746	1e-06
747	1e-06
748	0
749	2e-06
750	1e-06
751	1e-06
752	1e-06
753	0
754	1e-06
755	1e-06
756	0
757	1e-06
758	1e-06
759	1e-06
760	1e-06
761	0
762	-1e-06
763	0
764	1e-06
765	1e-06
766	1e-06
767	1e-06
768	0
769	-1e-06
770	-1e-06
771	1e-06
772	1e-06
773	1e-06
774	0
775	0
776	2e-06
777	-1e-06
778	1e-06
779	0
780	2e-06
