"Luxeon Lumileds K2 Cool White 1000 mA"	
Date	
Time	
"Integration time [ms]"	
Illumi0ce[lx]	
Irradiance[W/sqm]	
"CCT [K]"	
"wavelength [nm]"	Irradiance[W/(sqm*nm)]
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0.00075931
402	0.0015186
403	0.0022779
404	0.0030372
405	0.0037966
406	0.0045559
407	0.0053152
408	0.0060745
409	0.0068338
410	0.0076299
411	0.0086889
412	0.0097479
413	0.010807
414	0.011866
415	0.012925
416	0.013984
417	0.015043
418	0.016102
419	0.017161
420	0.01822
421	0.019279
422	0.020338
423	0.021397
424	0.022677
425	0.024667
426	0.027113
427	0.02956
428	0.032197
429	0.035561
430	0.04008
431	0.045463
432	0.050831
433	0.056188
434	0.061582
435	0.071602
436	0.081621
437	0.091641
438	0.10166
439	0.11542
440	0.13067
441	0.15752
442	0.18505
443	0.21218
444	0.23889
445	0.26328
446	0.30133
447	0.35915
448	0.39322
449	0.45672
450	0.52637
451	0.59686
452	0.64313
453	0.69846
454	0.75379
455	0.8144
456	0.87763
457	0.93226
458	0.97382
459	0.99525
460	0.99973
461	0.9947
462	0.9722
463	0.93027
464	0.90924
465	0.8606
466	0.80153
467	0.72842
468	0.63753
469	0.6086
470	0.56579
471	0.5442
472	0.50637
473	0.47374
474	0.42299
475	0.39638
476	0.37717
477	0.35573
478	0.33595
479	0.31719
480	0.29647
481	0.2657
482	0.24055
483	0.22413
484	0.2077
485	0.19127
486	0.1749
487	0.15903
488	0.14316
489	0.12934
490	0.11701
491	0.10906
492	0.10172
493	0.09438
494	0.08704
495	0.082079
496	0.077751
497	0.073422
498	0.069093
499	0.064765
500	0.060436
501	0.056107
502	0.051778
503	0.04799
504	0.04432
505	0.04065
506	0.03698
507	0.034513
508	0.032485
509	0.030457
510	0.028429
511	0.026401
512	0.024751
513	0.023402
514	0.022054
515	0.020706
516	0.019358
517	0.01801
518	0.016662
519	0.015313
520	0.013965
521	0.012617
522	0.011184
523	0.0096779
524	0.0081723
525	0.0066667
526	0.005161
527	0.0036554
528	0.0021497
529	0.0006441
530	0
531	0
532	0
533	0
534	0
535	0
536	0
537	0
538	0
539	0
540	0
541	0
542	0
543	0
544	0
545	0
546	0
547	0
548	0
549	0
550	0
551	0
552	0
553	0
554	0
555	0
556	0
557	0
558	0
559	0
560	0
561	0
562	0
563	0
564	0
565	0
566	0
567	0
568	0
569	0
570	0
571	0
572	0
573	0
574	0
575	0
576	0
577	0
578	0
579	0
580	0
581	0
582	0
583	0
584	0
585	0
586	0
587	0
588	0
589	0
590	0
591	0
592	0
593	0
594	0
595	0
596	0
597	0
598	0
599	0
600	0
601	0
602	0
603	0
604	0
605	0
606	0
607	0
608	0
609	0
610	0
611	0
612	0
613	0
614	0
615	0
616	0
617	0
618	0
619	0
620	0
621	0
622	0
623	0
624	0
625	0
626	0
627	0
628	0
629	0
630	0
631	0
632	0
633	0
634	0
635	0
636	0
637	0
638	0
639	0
640	0
641	0
642	0
643	0
644	0
645	0
646	0
647	0
648	0
649	0
650	0
651	0
652	0
653	0
654	0
655	0
656	0
657	0
658	0
659	0
660	0
661	0
662	0
663	0
664	0
665	0
666	0
667	0
668	0
669	0
670	0
671	0
672	0
673	0
674	0
675	0
676	0
677	0
678	0
679	0
680	0
681	0
682	0
683	0
684	0
685	0
686	0
687	0
688	0
689	0
690	0
691	0
692	0
693	0
694	0
695	0
696	0
697	0
698	0
699	0
700	0
701	0
702	0
703	0
704	0
705	0
706	0
707	0
708	0
709	0
710	0
711	0
712	0
713	0
714	0
715	0
716	0
717	0
718	0
719	0
720	0
721	0
722	0
723	0
724	0
725	0
726	0
727	0
728	0
729	0
730	0
731	0
732	0
733	0
734	0
735	0
736	0
737	0
738	0
739	0
740	0
741	0
742	0
743	0
744	0
745	0
746	0
747	0
748	0
749	0
750	0
751	0
752	0
753	0
754	0
755	0
756	0
757	0
758	0
759	0
760	0
761	0
762	0
763	0
764	0
765	0
766	0
767	0
768	0
769	0
770	0
771	0
772	0
773	0
774	0
775	0
776	0
777	0
778	0
779	0
780	0
