Luxeon Lumileds K2 Cool White 1000 mA									
Date										
Time										
Integration time [ms]									
Illuminance[lx]										
Irradiance[W/sqm]										
CCT [K]	
wavelength [nm]	Irradiance[W/(sqm*nm)]	
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	1.92
453	3.4933
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	60.623
468	28.416
469	0
470	13.16
471	0
472	48.984
473	8.852
474	47.338
475	90.316
476	113.93
477	108.57
478	117.93
479	170.78
480	164.22
481	201.69
482	293.82
483	328.86
484	423.7
485	487.52
486	592.16
487	693.66
488	786.57
489	965.38
490	1085.6
491	1299.6
492	1479.3
493	1729.8
494	1989.4
495	2321.2
496	2704.2
497	3070.8
498	3404.5
499	4010.8
500	4588.6
501	5246.9
502	5987.6
503	6803.5
504	7712.9
505	8669.4
506	9787.3
507	11064
508	12501
509	14008
510	15627
511	17596
512	19527
513	21732
514	24103
515	26571
516	29131
517	31620
518	34168
519	36789
520	39244
521	41482
522	43682
523	45543
524	46990
525	48198
526	48991
527	49475
528	49441
529	49090
530	48453
531	47405
532	46170
533	44795
534	43163
535	41341
536	39393
537	37441
538	35525
539	33624
540	31812
541	29984
542	28284
543	26651
544	25138
545	23755
546	22379
547	21068
548	19885
549	18846
550	17670
551	16724
552	15646
553	14675
554	13840
555	12852
556	11977
557	11215
558	10469
559	9846.5
560	9183.4
561	8517.5
562	7922.1
563	7347.7
564	6843.4
565	6406.2
566	6018.9
567	5569.2
568	5200.9
569	4860.1
570	4593.8
571	4277.8
572	3933.3
573	3624.3
574	3430.8
575	3230.6
576	2946.9
577	2684.5
578	2537.9
579	2390.1
580	2164.8
581	2050.3
582	1936.2
583	1715.4
584	1645.2
585	1475
586	1343.2
587	1220.6
588	1150.4
589	1098.4
590	972.6
591	829.53
592	816.62
593	735.83
594	637.22
595	627.92
596	593.03
597	613.73
598	496.12
599	486.66
600	413.73
601	392.4
602	369.63
603	316.21
604	268.66
605	267.92
606	217.71
607	192.93
608	148.71
609	146.89
610	118.74
611	107.2
612	112.69
613	72.773
614	45.923
615	77.238
616	56.661
617	37.418
618	9.264
619	43.22
620	4.203
621	0
622	19.267
623	0
624	0
625	0
626	0
627	0
628	0
629	0
630	0
631	0
632	0
633	0
634	0
635	0
636	0
637	0
638	0
639	0
640	0
641	0
642	0
643	0
644	0
645	0
646	0
647	0
648	0
649	0
650	0
651	0
652	0
653	0
654	0
655	0
656	0
657	0
658	0
659	0
660	0
661	0
662	0
663	0
664	0
665	0
666	0
667	0
668	0
669	0
670	0
671	0
672	0
673	0
674	0
675	0
676	0
677	0
678	0
679	0
680	0
681	0
682	0
683	0
684	0
685	0
686	0
687	0
688	0
689	0
690	0
691	0
692	0
693	0
694	0
695	0
696	0
697	0
698	0
699	0
700	0
701	0
702	0
703	0
704	0
705	0
706	0
707	0
708	0
709	0
710	0
711	0
712	0
713	0
714	0
715	0
716	0
717	0
718	0
719	0
720	0
721	0
722	0
723	0
724	0
725	0
726	0
727	0
728	0
729	0
730	0
731	0
732	0
733	0
734	0
735	0
736	0
737	0
738	0
739	0
740	0
741	0
742	0
743	0
744	0
745	0
746	0
747	0
748	0
749	0
750	0
751	0
752	0
753	0
754	0
755	0
756	0
757	0
758	0
759	0
760	0
761	0
762	0
763	0
764	0
765	0
766	0
767	0
768	0
769	0
770	0
771	0
772	0
773	0
774	0
775	0
776	0
777	0
778	0
779	0
780	0
