Cree White
Date: Taken from the Claude Operating Room Project									
Time										
Integration time [ms]									
Illuminance[lx]										
Irradiance[W/sqm]										
CCT [K]: x
wavelength [nm]	Irradiance[W/(sqm*nm)]	
380	0
381	0
382	1e-06
383	1e-06
384	3e-06
385	0
386	2e-06
387	1e-06
388	2e-06
389	0
390	2e-06
391	3e-06
392	2e-06
393	3e-06
394	3e-06
395	4e-06
396	4e-06
397	2e-06
398	1e-06
399	3e-06
400	2e-06
401	1e-06
402	5e-06
403	4e-06
404	5e-06
405	4e-06
406	5e-06
407	5e-06
408	5e-06
409	7e-06
410	7e-06
411	7e-06
412	1e-05
413	1e-05
414	1.1e-05
415	1.5e-05
416	1.6e-05
417	2e-05
418	2.4e-05
419	2.6e-05
420	3.1e-05
421	3.9e-05
422	4.6e-05
423	5e-05
424	5.8e-05
425	7.3e-05
426	7.8e-05
427	8.7e-05
428	0.000102
429	0.000111
430	0.000134
431	0.000146
432	0.000164
433	0.000176
434	0.000209
435	0.000231
436	0.000252
437	0.000279
438	0.000327
439	0.000356
440	0.000387
441	0.000421
442	0.000454
443	0.000537
444	0.000592
445	0.000632
446	0.000687
447	0.000788
448	0.000845
449	0.000884
450	0.000934
451	0.001015
452	0.001051
453	0.001071
454	0.001092
455	0.001088
456	0.001075
457	0.001043
458	0.001016
459	0.00094
460	0.000898
461	0.000848
462	0.000797
463	0.000714
464	0.000679
465	0.000633
466	0.000607
467	0.000575
468	0.000528
469	0.000504
470	0.000489
471	0.000467
472	0.000431
473	0.000416
474	0.000398
475	0.000386
476	0.000354
477	0.000339
478	0.000325
479	0.000312
480	0.000289
481	0.000279
482	0.000269
483	0.000266
484	0.000253
485	0.000248
486	0.000244
487	0.000245
488	0.000244
489	0.000244
490	0.000243
491	0.000245
492	0.000247
493	0.000246
494	0.000245
495	0.000245
496	0.000245
497	0.000246
498	0.000246
499	0.000247
500	0.000248
501	0.000258
502	0.000269
503	0.000281
504	0.000293
505	0.000312
506	0.000326
507	0.000341
508	0.000353
509	0.00038
510	0.000395
511	0.000404
512	0.000416
513	0.000445
514	0.000457
515	0.000467
516	0.000479
517	0.000486
518	0.000515
519	0.000528
520	0.000536
521	0.000547
522	0.000572
523	0.00058
524	0.000587
525	0.000596
526	0.000611
527	0.000619
528	0.00063
529	0.000637
530	0.000649
531	0.000656
532	0.000661
533	0.000667
534	0.000673
535	0.000676
536	0.000681
537	0.000689
538	0.000692
539	0.000696
540	0.0007
541	0.000706
542	0.000706
543	0.000714
544	0.000717
545	0.000715
546	0.000717
547	0.000718
548	0.000726
549	0.00072
550	0.000728
551	0.000727
552	0.000725
553	0.000727
554	0.000728
555	0.000726
556	0.000725
557	0.000721
558	0.000731
559	0.000721
560	0.000725
561	0.000728
562	0.000721
563	0.000726
