Luxeon Lumileds K2 Cool White 1000 mA									
Date										
Time										
Integration time [ms]									
Illuminance[lx]										
Irradiance[W/sqm]										
CCT [K]: 6500 K (nominal)
wavelength [nm]	Irradiance[W/(sqm*nm)]	
380	53.888
381	77.384
382	65.254
383	97.358
384	88.985
385	68.55
386	55.908
387	52.697
388	52.002
389	65.336
390	90.362
391	84.083
392	87.645
393	78.287
394	97.186
395	124.96
396	126.19
397	147.58
398	139.85
399	152.12
400	198.98
401	216.11
402	292.18
403	319.34
404	370.38
405	477.91
406	620.52
407	736.68
408	833.75
409	1088.9
410	1283.7
411	1593.8
412	1954.2
413	2386.2
414	2869.2
415	3439.9
416	4193.4
417	5028
418	5915
419	6964.9
420	8176.8
421	9525.2
422	11024
423	12703
424	14429
425	16278
426	18384
427	20775
428	23106
429	25509
430	27859
431	30365
432	32720
433	35511
434	38364
435	41306
436	44066
437	46990
438	49940
439	52737
440	54945
441	56807
442	57932
443	58635
444	58581
445	57462
446	56013
447	53664
448	50570
449	47375
450	43978
451	40400
452	36861
453	33565
454	30675
455	27915
456	25512
457	23447
458	21528
459	19804
460	18365
461	17108
462	16024
463	14997
464	13927
465	13139
466	12374
467	11822
468	11235
469	10669
470	10294
471	9888.8
472	9611.7
473	9212.4
474	9002
475	8727.8
476	8529.8
477	8407.5
478	8242.8
479	8182.9
480	8287.1
481	8282.1
482	8293.8
483	8484.4
484	8629.4
485	8754.1
486	9055.5
487	9409.9
488	9729.3
489	10107
490	10661
491	11157
492	11734
493	12391
494	13135
495	13869
496	14767
497	15606
498	16475
499	17418
500	18433
501	19518
502	20477
503	21583
504	22789
505	23890
506	24973
507	26228
508	27366
509	28524
510	29647
511	30958
512	32096
513	33541
514	34766
515	35983
516	37262
517	38485
518	39644
519	40922
520	41881
521	43071
522	44191
523	45221
524	45961
525	46781
526	47479
527	48282
528	48612
529	49128
530	49607
531	49962
532	50207
533	50750
534	50748
535	50816
536	51111
537	51171
538	51158
539	51005
540	50960
541	51091
542	50926
543	50821
544	50576
545	50432
546	50343
547	50388
548	50068
549	49973
550	49773
551	49655
552	49492
553	49586
554	49373
555	49161
556	49085
557	49093
558	49143
559	48780
560	48763
561	48718
562	48546
563	48287
564	48184
565	48151
566	47888
567	47681
568	47422
569	47287
570	47093
571	46878
572	46548
573	46475
574	46229
575	45855
576	45609
577	45331
578	44931
579	44477
580	44089
581	43714
582	43238
583	42935
584	42572
585	42026
586	41607
587	41011
588	40515
589	39920
590	39510
591	38981
592	38388
593	37994
594	37388
595	36746
596	36159
597	35560
598	35173
599	34475
600	33814
601	33190
602	32781
603	32178
604	31428
605	30930
606	30380
607	29817
608	29532
609	29152
610	28684
611	28382
612	28214
613	27835
614	27587
615	27422
616	27041
617	26743
618	26597
619	26092
620	25789
621	25378
622	24981
623	24547
624	24231
625	23800
626	23176
627	22719
628	22238
629	21816
630	21285
631	20862
632	20373
633	19837
634	19396
635	18925
636	18501
637	18083
638	17702
639	17208
640	16839
641	16302
642	15934
643	15438
644	15118
645	14644
646	14199
647	13851
648	13440
649	13020
650	12728
651	12455
652	12118
653	11747
654	11393
655	10991
656	10683
657	10387
658	10033
659	9779.8
660	9497.7
661	9181.1
662	8856.5
663	8636.2
664	8395.7
665	8114.5
666	7845.2
667	7671.9
668	7449.3
669	7207.7
670	6942.4
671	6755.8
672	6636.4
673	6395
674	6257.3
675	6027.7
676	5823.5
677	5678.6
678	5540.8
679	5387.9
680	5206.7
681	5115
682	4938.2
683	4791.6
684	4680.9
685	4459.7
686	4375.2
687	4253.8
688	4142.8
689	3988.9
690	3918
691	3763.8
692	3685.2
693	3614.6
694	3549.1
695	3350.9
696	3269.5
697	3172.4
698	3120
699	3006.4
700	2908.4
701	2861.6
702	2781.1
703	2670.7
704	2573.1
705	2536.8
706	2384
707	2326.2
708	2268.2
709	2141.6
710	2104.6
711	2070.2
712	2040
713	1898.5
714	1893.9
715	1832.6
716	1754
717	1715.4
718	1622
719	1500.4
720	1499
721	1413.2
722	1360.2
723	1328.9
724	1297.3
725	1219.2
726	1225.7
727	1194
728	1122.9
729	1067.6
730	1068.5
731	1037.8
732	1012
733	949.9
734	946.86
735	905.83
736	838.94
737	792.12
738	803.55
739	777.94
740	734.73
741	714.09
742	690.6
743	596.42
744	636.03
745	575.72
746	587.25
747	551.15
748	514
749	523.73
750	512.12
751	468.94
752	457.42
753	446.55
754	455.54
755	453.75
756	402.26
757	380.47
758	380.92
759	369.34
760	371.27
761	371.95
762	353.27
763	351.92
764	327.17
765	329.27
766	348.9
767	327.85
768	316.64
769	294.91
770	321.9
771	282.28
772	256.25
773	265.73
774	279.5
775	269.45
776	221.77
777	214.69
778	210.83
779	192.21
780	157.88
