Luxeon Rebel (LXML-PWW1)
Date	
Time	
Integration time [ms]	
Illuminance[lx]	
Irradiance[W/sqm]	
CCT [K]: 3100 K (nominal)
wavelength [nm]	Irradiance[W/(sqm*nm)]
380	5.69E-06
381	4.36E-06
382	4.03E-06
383	4.80E-06
384	3.77E-06
385	3.25E-06
386	4.51E-06
387	3.99E-06
388	5.15E-06
389	3.46E-06
390	4.81E-06
391	4.18E-06
392	4.50E-06
393	3.81E-06
394	3.83E-06
395	4.70E-06
396	4.45E-06
397	3.68E-06
398	4.11E-06
399	3.78E-06
400	4.32E-06
401	4.15E-06
402	4.41E-06
403	5.02E-06
404	5.33E-06
405	4.99E-06
406	5.07E-06
407	5.78E-06
408	5.99E-06
409	6.81E-06
410	7.47E-06
411	7.39E-06
412	8.19E-06
413	9.40E-06
414	1.00E-05
415	1.15E-05
416	1.26E-05
417	1.36E-05
418	1.58E-05
419	1.67E-05
420	2.00E-05
421	2.19E-05
422	2.49E-05
423	2.85E-05
424	3.17E-05
425	3.61E-05
426	4.14E-05
427	4.57E-05
428	5.07E-05
429	5.70E-05
430	6.45E-05
431	7.07E-05
432	7.93E-05
433	8.62E-05
434	9.34E-05
435	1.03E-04
436	1.11E-04
437	1.20E-04
438	1.31E-04
439	1.40E-04
440	1.53E-04
441	1.65E-04
442	1.78E-04
443	1.92E-04
444	2.08E-04
445	2.25E-04
446	2.41E-04
447	2.61E-04
448	2.82E-04
449	2.99E-04
450	3.17E-04
451	3.36E-04
452	3.47E-04
453	3.62E-04
454	3.71E-04
455	3.74E-04
456	3.78E-04
457	3.73E-04
458	3.65E-04
459	3.56E-04
460	3.41E-04
461	3.29E-04
462	3.12E-04
463	2.99E-04
464	2.83E-04
465	2.69E-04
466	2.58E-04
467	2.47E-04
468	2.40E-04
469	2.32E-04
470	2.27E-04
471	2.21E-04
472	2.17E-04
473	2.15E-04
474	2.12E-04
475	2.09E-04
476	2.06E-04
477	2.02E-04
478	2.02E-04
479	1.99E-04
480	1.95E-04
481	1.93E-04
482	1.90E-04
483	1.90E-04
484	1.89E-04
485	1.89E-04
486	1.88E-04
487	1.90E-04
488	1.91E-04
489	1.95E-04
490	1.99E-04
491	2.04E-04
492	2.08E-04
493	2.14E-04
494	2.22E-04
495	2.28E-04
496	2.36E-04
497	2.47E-04
498	2.57E-04
499	2.69E-04
500	2.80E-04
501	2.92E-04
502	3.09E-04
503	3.20E-04
504	3.35E-04
505	3.48E-04
506	3.65E-04
507	3.81E-04
508	3.95E-04
509	4.06E-04
510	4.23E-04
511	4.38E-04
512	4.51E-04
513	4.64E-04
514	4.78E-04
515	4.93E-04
516	5.02E-04
517	5.14E-04
518	5.24E-04
519	5.35E-04
520	5.45E-04
521	5.54E-04
522	5.64E-04
523	5.71E-04
524	5.76E-04
525	5.85E-04
526	5.89E-04
527	5.96E-04
528	6.00E-04
529	6.05E-04
530	6.10E-04
531	6.13E-04
532	6.18E-04
533	6.21E-04
534	6.22E-04
535	6.26E-04
536	6.29E-04
537	6.30E-04
538	6.31E-04
539	6.30E-04
540	6.34E-04
541	6.34E-04
542	6.34E-04
543	6.31E-04
544	6.35E-04
545	6.36E-04
546	6.36E-04
547	6.37E-04
548	6.41E-04
549	6.41E-04
550	6.44E-04
551	6.45E-04
552	6.49E-04
553	6.50E-04
554	6.51E-04
555	6.52E-04
556	6.57E-04
557	6.56E-04
558	6.59E-04
559	6.62E-04
560	6.63E-04
561	6.67E-04
562	6.69E-04
563	6.73E-04
564	6.76E-04
565	6.78E-04
566	6.83E-04
567	6.85E-04
568	6.88E-04
569	6.94E-04
570	6.94E-04
571	7.01E-04
572	7.03E-04
573	7.09E-04
574	7.13E-04
575	7.17E-04
576	7.22E-04
577	7.28E-04
578	7.31E-04
579	7.38E-04
580	7.43E-04
581	7.49E-04
582	7.54E-04
583	7.58E-04
584	7.63E-04
585	7.72E-04
586	7.77E-04
587	7.85E-04
588	7.89E-04
589	7.98E-04
590	8.04E-04
591	8.12E-04
592	8.21E-04
593	8.23E-04
594	8.37E-04
595	8.44E-04
596	8.52E-04
597	8.61E-04
598	8.71E-04
599	8.82E-04
600	8.87E-04
601	8.98E-04
602	9.07E-04
603	9.14E-04
604	9.26E-04
605	9.30E-04
606	9.36E-04
607	9.50E-04
608	9.60E-04
609	9.67E-04
610	9.77E-04
611	9.85E-04
612	9.93E-04
613	9.99E-04
614	1.01E-03
615	1.02E-03
616	1.03E-03
617	1.03E-03
618	1.04E-03
619	1.04E-03
620	1.05E-03
621	1.06E-03
622	1.06E-03
623	1.07E-03
624	1.07E-03
625	1.08E-03
626	1.08E-03
627	1.08E-03
628	1.09E-03
629	1.09E-03
630	1.09E-03
631	1.09E-03
632	1.09E-03
633	1.09E-03
634	1.09E-03
635	1.09E-03
636	1.09E-03
637	1.09E-03
638	1.09E-03
639	1.08E-03
640	1.09E-03
641	1.08E-03
642	1.08E-03
643	1.07E-03
644	1.07E-03
645	1.06E-03
646	1.06E-03
647	1.05E-03
648	1.04E-03
649	1.04E-03
650	1.03E-03
651	1.02E-03
652	1.01E-03
653	1.01E-03
654	1.00E-03
655	9.90E-04
656	9.79E-04
657	9.69E-04
658	9.59E-04
659	9.50E-04
660	9.40E-04
661	9.29E-04
662	9.21E-04
663	9.08E-04
664	8.96E-04
665	8.82E-04
666	8.73E-04
667	8.62E-04
668	8.49E-04
669	8.38E-04
670	8.26E-04
671	8.15E-04
672	8.01E-04
673	7.87E-04
674	7.75E-04
675	7.61E-04
676	7.49E-04
677	7.37E-04
678	7.23E-04
679	7.11E-04
680	6.97E-04
681	6.83E-04
682	6.71E-04
683	6.61E-04
684	6.47E-04
685	6.35E-04
686	6.19E-04
687	6.10E-04
688	5.95E-04
689	5.86E-04
690	5.74E-04
691	5.61E-04
692	5.51E-04
693	5.37E-04
694	5.25E-04
695	5.14E-04
696	5.03E-04
697	4.93E-04
698	4.79E-04
699	4.71E-04
700	4.59E-04
701	4.49E-04
702	4.38E-04
703	4.25E-04
704	4.16E-04
705	4.07E-04
706	3.96E-04
707	3.87E-04
708	3.76E-04
709	3.68E-04
710	3.59E-04
711	3.50E-04
712	3.41E-04
713	3.31E-04
714	3.23E-04
715	3.13E-04
716	3.05E-04
