Mercury Vapor lamp	
Date	16.1.2009
Time	
Integration time [ms]	1011
Illuminance[lx]	1928
Irradiance[W/sqm]	5.7174
CCT [K]	4559
wavelength [nm]	Irradiance[W/(sqm*nm)]
380	0.00242172
381	0.002242969
382	0.001807372
383	0.001345205
384	0.00105419
385	0.000975801
386	0.001090025
387	0.001353834
388	0.001740211
389	0.002200573
390	0.00258987
391	0.002691586
392	0.002393991
393	0.001559277
394	0.000299997
395	0
396	0
397	0.000265393
398	0.003443204
399	0.008448945
400	0.014531367
401	0.02146404
402	0.0283806
403	0.034608155
404	0.039477282
405	0.042317676
406	0.042236976
407	0.038801781
408	0.031778653
409	0.022529827
410	0.012804877
411	0.004275
412	0
413	0
414	0
415	2.11032E-05
416	0.002274938
417	0.003758293
418	0.004186498
419	0.00392339
420	0.003332675
421	0.002809868
422	0.002579096
423	0.002649483
424	0.00293338
425	0.003340865
426	0.00373038
427	0.004523973
428	0.007043008
429	0.012684331
430	0.022803124
431	0.038341504
432	0.057918997
433	0.078138401
434	0.09571429
435	0.107524552
436	0.112833448
437	0.110715081
438	0.102588733
439	0.089885655
440	0.074049686
441	0.055924633
442	0.038234128
443	0.022560336
444	0.010425042
445	0.003134796
446	0.000241801
447	0.000264463
448	0.001831131
449	0.003538852
450	0.004326106
451	0.004257888
452	0.003699194
453	0.002989584
454	0.002458511
455	0.002227116
456	0.002191666
457	0.002266272
458	0.002352234
459	0.002369773
460	0.002322824
461	0.002245164
462	0.002160888
463	0.002097754
464	0.002068829
465	0.002066642
466	0.002089547
467	0.002121732
468	0.002155229
469	0.002186095
470	0.00221211
471	0.002236268
472	0.002251271
473	0.002256796
474	0.002255882
475	0.002251918
476	0.002239553
477	0.002230736
478	0.002226405
479	0.002226451
480	0.002230758
481	0.00224858
482	0.002274293
483	0.002318268
484	0.002391642
485	0.002505601
486	0.002651303
487	0.002831647
488	0.003024553
489	0.003208364
490	0.003361926
491	0.003475696
492	0.003528613
493	0.003507942
494	0.003401094
495	0.003201301
496	0.00293491
497	0.002644196
498	0.002369177
499	0.002148653
500	0.001997487
501	0.001904678
502	0.001851512
503	0.001822765
504	0.001805593
505	0.001796379
506	0.001785289
507	0.00177966
508	0.001778143
509	0.001779231
510	0.001781297
511	0.00179155
512	0.001799617
513	0.001803998
514	0.001803347
515	0.001796341
516	0.001782585
517	0.00176083
518	0.001737716
519	0.001722806
520	0.00172564
521	0.001752656
522	0.001796376
523	0.001826397
524	0.001811508
525	0.001720817
526	0.001562189
527	0.001445453
528	0.001500525
529	0.001856699
530	0.002594805
531	0.003413127
532	0.003851581
533	0.003451214
534	0.001798043
535	0
536	0
537	0
538	0.005761148
539	0.017182439
540	0.033074654
541	0.052179488
542	0.073300782
543	0.095091537
544	0.115381985
545	0.131736969
546	0.141864942
547	0.143444102
548	0.136621621
549	0.123245433
550	0.105186363
551	0.084547746
552	0.062859387
553	0.042102985
554	0.024273714
555	0.011372158
556	0.004462336
557	0.00213705
558	0.002558944
559	0.003891481
560	0.004580835
561	0.004510529
562	0.003988038
563	0.003333936
564	0.002850745
565	0.002639805
566	0.002684849
567	0.002976123
568	0.003533541
569	0.005051868
570	0.008844098
571	0.016191935
572	0.028379601
573	0.045214909
574	0.064461089
575	0.083750325
576	0.100818711
577	0.113511319
578	0.120208584
579	0.119364417
580	0.109445331
581	0.090026571
582	0.065393921
583	0.040302762
584	0.019427677
585	0.006401041
586	0.000406103
587	0
588	0.00133433
589	0.004435651
590	0.007816621
591	0.010979865
592	0.013436443
593	0.014754029
594	0.014967631
595	0.014343605
596	0.013201104
597	0.011734825
598	0.010131304
599	0.008536324
600	0.007096682
601	0.00595502
602	0.005183452
603	0.004803026
604	0.004833938
605	0.005297372
606	0.006222265
607	0.007653897
608	0.0096348
609	0.012212303
610	0.015510046
611	0.019672032
612	0.024910629
613	0.031378546
614	0.038662733
615	0.045866467
616	0.051975768
617	0.056197655
618	0.05822268
