5nm interpolated with spline
Date	xxx
Time										
Integration time [ms]									
Illuminance[lx]								
Irradiance[W/sqm]										
CCT [K]	x
wavel	irrad relative
380	0.91
381	0.91971
382	0.88415
383	0.81573
384	0.72687
385	0.63
386	0.53753
387	0.46187
388	0.41545
389	0.41069
390	0.46
391	0.56314
392	0.66925
393	0.71478
394	0.63621
395	0.37
396	-0.089059
397	-0.51294
398	-0.61528
399	-0.10975
400	1.29
401	3.718
402	6.6987
403	9.6045
404	11.808
405	12.68
406	11.806
407	9.6168
408	6.7556
409	3.8656
410	1.59
411	0.41071
412	0.165
413	0.52894
414	1.1786
415	1.79
416	2.1154
417	2.2119
418	2.2127
419	2.251
420	2.46
421	2.9138
422	3.4496
423	3.8456
424	3.8797
425	3.33
426	2.1381
427	0.89932
428	0.3725
429	1.3164
430	4.49
431	10.281
432	17.59
433	24.95
434	30.889
435	33.94
436	33.094
437	29.19
438	23.527
439	17.407
440	12.13
441	8.6999
442	6.9398
443	6.3767
444	6.5377
445	6.95
446	7.2284
447	7.3384
448	7.3332
449	7.266
450	7.19
451	7.1471
452	7.1337
453	7.1347
454	7.1351
455	7.12
456	7.0778
457	7.0109
458	6.9251
459	6.8262
460	6.72
461	6.6111
462	6.4993
463	6.3828
464	6.2603
465	6.13
466	5.9917
467	5.8498
468	5.7101
469	5.5783
470	5.46
471	5.3572
472	5.2562
473	5.1397
474	4.9901
475	4.79
476	4.5479
477	4.3759
478	4.4119
479	4.794
480	5.66
481	7.0857
482	8.8975
483	10.859
484	12.736
485	14.29
486	15.335
487	15.873
488	15.956
489	15.635
490	14.96
491	13.991
492	12.813
493	11.521
494	10.209
495	8.97
496	7.8789
497	6.9317
498	6.1051
499	5.3757
500	4.72
501	4.1195
502	3.5749
503	3.0915
504	2.6747
505	2.33
506	2.0595
507	1.8523
508	1.6944
509	1.5716
510	1.47
511	1.3779
512	1.2938
513	1.2188
514	1.1538
515	1.1
516	1.0572
517	1.0206
518	0.98443
519	0.94286
520	0.89
521	0.82463
522	0.76403
523	0.73012
524	0.74481
525	0.83
526	0.99241
527	1.1779
528	1.3172
529	1.341
530	1.18
531	0.84261
532	0.64849
533	0.99507
534	2.2798
535	4.9
536	9.1544
537	14.946
538	22.08
539	30.359
540	39.59
541	49.413
542	58.82
543	66.641
544	71.705
545	72.84
546	69.308
547	62.098
548	52.631
549	42.328
550	32.61
551	24.618
552	18.372
553	13.613
554	10.082
555	7.52
556	5.688
557	4.4339
558	3.6269
559	3.136
560	2.83
561	2.5978
562	2.4072
563	2.2457
564	2.1008
565	1.96
566	1.8172
567	1.6914
568	1.608
569	1.5924
570	1.67
571	1.8668
572	2.2117
573	2.7341
574	3.4637
575	4.43
576	5.6419
577	7.0265
578	8.4901
579	9.9391
580	11.28
581	12.433
582	13.37
583	14.079
584	14.547
585	14.76
586	14.714
587	14.445
588	13.995
589	13.408
590	12.73
591	12.005
592	11.288
593	10.634
594	10.1
595	9.74
596	9.5695
597	9.4364
598	9.1477
599	8.5099
600	7.33
601	5.6001
602	4.0545
603	3.6128
604	5.1948
605	9.72
606	17.681
607	27.861
608	38.615
609	48.299
610	55.27
611	58.288
612	57.739
613	54.411
614	49.094
615	42.58
616	35.605
617	28.7
618	22.342
619	17.01
620	13.18
621	11.17
622	10.653
623	11.138
624	12.136
625	13.16
626	13.805
627	14.012
628	13.806
629	13.213
630	12.26
631	10.989
632	9.5106
633	7.9529
634	6.4434
635	5.11
636	4.0524
637	3.259
638	2.6905
639	2.3073
640	2.07
641	1.9444
642	1.9168
643	1.9792
644	2.123
645	2.34
646	2.6167
647	2.9186
648	3.2062
649	3.4399
650	3.58
651	3.5991
652	3.5183
653	3.371
654	3.1905
655	3.01
656	2.8565
657	2.7316
658	2.6304
659	2.5482
660	2.48
661	2.4208
662	2.364
663	2.3028
664	2.2304
665	2.14
666	2.0276
667	1.901
668	1.7705
669	1.6466
670	1.54
671	1.4587
672	1.401
673	1.363
674	1.3407
675	1.33
676	1.3281
677	1.337
678	1.3599
679	1.3998
680	1.46
681	1.5417
682	1.6387
683	1.7429
684	1.846
685	1.94
686	2.0168
687	2.0687
688	2.0883
689	2.0679
690	2
691	1.8812
692	1.7246
693	1.5474
694	1.3668
695	1.2
696	1.0656
697	0.9879
698	0.99233
699	1.1045
700	1.35
701	1.7434
702	2.2554
703	2.8457
704	3.474
705	4.1
706	4.6818
707	5.1709
708	5.5171
709	5.6702
710	5.58
711	5.2187
712	4.6476
713	3.95
714	3.2097
715	2.51
716	1.9188
717	1.4404
718	1.0637
719	0.77735
720	0.57
721	0.42995
722	0.34377
723	0.29762
724	0.27765
725	0.27
726	0.26322
727	0.25537
728	0.24691
729	0.2383
730	0.23
731	0.22247
732	0.2162
733	0.2117
734	0.20947
735	0.21
736	0.21355
737	0.21934
738	0.22636
739	0.23359
740	0.24
741	0.2447
742	0.24731
743	0.24756
744	0.24521
745	0.24
746	0.23197
747	0.22239
748	0.21283
749	0.20484
750	0.2
751	0.19957
752	0.2036
753	0.21185
754	0.22407
755	0.24
756	0.25903
757	0.27904
758	0.29753
759	0.31202
760	0.32
761	0.31967
762	0.31192
763	0.29834
764	0.28051
765	0.26
766	0.23829
767	0.21647
768	0.19549
769	0.17635
770	0.16
771	0.14715
772	0.1374
773	0.13008
774	0.1245
775	0.12
776	0.1159
777	0.11152
778	0.1062
779	0.099248
780	0.09
