1nm version from Celine/Osram
Date	xxx
Time										
Integration time [ms]									
Illuminance[lx]								
Irradiance[W/sqm]										
CCT [K]	x
wavel	irrad relative
380	2.94E+01
381	5.98E+01
382	2.66E+01
383	3.12E+01
384	3.45E+01
385	5.59E+01
386	4.93E+01
387	4.93E+01
388	1.38E+01
389	4.39E+01
390	3.88E+01
391	3.12E+01
392	4.01E+01
393	1.74E+01
394	3.42E+01
395	9.71E+00
396	3.58E+01
397	3.01E+01
398	7.53E+01
399	8.63E+01
400	2.40E+01
401	8.40E+01
402	9.17E+01
403	1.17E+02
404	1.71E+03
405	2.09E+03
406	3.32E+02
407	3.02E+02
408	3.51E+02
409	2.27E+02
410	2.13E+02
411	2.26E+02
412	2.31E+02
413	2.70E+02
414	2.99E+02
415	3.40E+02
416	4.04E+02
417	4.34E+02
418	3.89E+02
419	4.40E+02
420	4.94E+02
421	5.36E+02
422	5.81E+02
423	6.31E+02
424	7.02E+02
425	6.80E+02
426	7.30E+02
427	7.78E+02
428	8.20E+02
429	8.80E+02
430	9.10E+02
431	9.03E+02
432	9.45E+02
433	1.01E+03
434	1.16E+03
435	5.74E+03
436	8.17E+03
437	2.68E+03
438	1.35E+03
439	1.19E+03
440	1.18E+03
441	1.20E+03
442	1.22E+03
443	1.25E+03
444	1.31E+03
445	1.28E+03
446	1.28E+03
447	1.32E+03
448	1.39E+03
449	1.35E+03
450	1.33E+03
451	1.32E+03
452	1.33E+03
453	1.33E+03
454	1.32E+03
455	1.26E+03
456	1.28E+03
457	1.24E+03
458	1.21E+03
459	1.18E+03
460	1.17E+03
461	1.06E+03
462	1.07E+03
463	1.07E+03
464	1.04E+03
465	1.03E+03
466	9.88E+02
467	9.66E+02
468	9.54E+02
469	9.28E+02
470	8.86E+02
471	8.80E+02
472	8.34E+02
473	8.32E+02
474	7.89E+02
475	7.56E+02
476	7.09E+02
477	6.81E+02
478	6.81E+02
479	6.67E+02
480	6.63E+02
481	6.72E+02
482	7.54E+02
483	8.47E+02
484	1.03E+03
485	1.27E+03
486	1.52E+03
487	1.62E+03
488	1.48E+03
489	1.33E+03
490	1.20E+03
491	1.09E+03
492	1.02E+03
493	8.88E+02
494	8.00E+02
495	7.40E+02
496	6.70E+02
497	6.03E+02
498	5.28E+02
499	4.51E+02
500	3.98E+02
501	3.46E+02
502	3.06E+02
503	2.75E+02
504	2.56E+02
505	2.32E+02
506	1.98E+02
507	1.83E+02
508	1.80E+02
509	1.68E+02
510	1.47E+02
511	1.38E+02
512	1.36E+02
513	1.23E+02
514	1.03E+02
515	1.07E+02
516	9.25E+01
517	9.55E+01
518	8.38E+01
519	7.97E+01
520	8.45E+01
521	8.38E+01
522	7.30E+01
523	6.41E+01
524	6.54E+01
525	6.18E+01
526	7.10E+01
527	6.84E+01
528	6.33E+01
529	6.21E+01
530	6.74E+01
531	7.59E+01
532	9.25E+01
533	1.82E+02
534	1.83E+02
535	2.00E+02
536	2.57E+02
537	4.36E+02
538	7.29E+02
539	1.09E+03
540	2.12E+03
541	4.51E+03
542	5.43E+03
543	4.65E+03
544	4.42E+03
545	5.58E+03
546	7.94E+03
547	5.44E+03
548	3.60E+03
549	2.57E+03
550	1.91E+03
551	1.42E+03
552	1.02E+03
553	7.76E+02
554	5.70E+02
555	4.05E+02
556	2.85E+02
557	2.30E+02
558	1.92E+02
559	1.62E+02
560	1.29E+02
561	1.16E+02
562	1.16E+02
563	1.16E+02
564	9.71E+01
565	7.71E+01
566	8.56E+01
567	6.87E+01
568	5.11E+01
569	5.54E+01
570	5.24E+01
571	5.44E+01
572	1.81E+01
573	4.67E+01
574	4.95E+01
575	7.53E+01
576	4.56E+02
577	9.27E+02
578	6.84E+02
579	1.04E+03
580	7.38E+02
581	6.24E+02
582	7.63E+02
583	9.34E+02
584	9.95E+02
585	9.45E+02
586	8.98E+02
587	1.16E+03
588	8.88E+02
589	6.55E+02
590	5.60E+02
591	5.53E+02
592	6.96E+02
593	8.37E+02
594	6.21E+02
595	4.42E+02
596	3.55E+02
597	3.13E+02
598	3.61E+02
599	4.74E+02
600	4.37E+02
601	3.30E+02
602	2.34E+02
603	1.86E+02
604	1.79E+02
605	1.96E+02
606	2.17E+02
607	2.76E+02
608	4.38E+02
609	7.71E+02
610	2.31E+03
611	6.31E+03
612	4.74E+03
613	3.23E+03
614	2.47E+03
615	1.78E+03
616	1.19E+03
617	8.16E+02
618	6.43E+02
619	6.21E+02
620	6.69E+02
621	7.09E+02
622	7.10E+02
623	7.81E+02
624	7.83E+02
625	8.12E+02
626	8.09E+02
627	7.33E+02
628	6.70E+02
629	5.78E+02
630	7.35E+02
631	9.00E+02
632	5.78E+02
633	3.18E+02
634	2.09E+02
635	1.55E+02
636	1.18E+02
637	1.19E+02
638	1.14E+02
639	1.15E+02
640	1.05E+02
641	7.71E+01
642	1.02E+02
643	1.15E+02
644	1.43E+02
645	1.20E+02
646	1.05E+02
647	1.22E+02
648	1.06E+02
649	1.48E+02
650	3.00E+02
651	2.61E+02
652	2.11E+02
653	2.02E+02
654	1.73E+02
655	1.64E+02
656	1.74E+02
657	1.69E+02
658	1.41E+02
659	1.02E+02
660	1.02E+02
661	1.04E+02
662	1.94E+02
663	1.86E+02
664	1.22E+02
665	1.22E+02
666	1.06E+02
667	1.13E+02
668	9.76E+01
669	9.68E+01
670	1.21E+02
671	1.16E+02
672	7.66E+01
673	9.37E+01
674	1.20E+02
675	1.13E+02
676	7.15E+01
677	8.33E+01
678	9.04E+01
679	9.94E+01
680	1.17E+02
681	1.14E+02
682	1.37E+02
683	9.53E+01
684	8.58E+01
685	1.12E+02
686	1.25E+02
687	1.98E+02
688	1.73E+02
689	1.72E+02
690	1.14E+02
691	7.00E+01
692	6.28E+01
693	1.17E+02
694	1.32E+02
695	9.19E+01
696	5.75E+01
697	6.54E+01
698	5.29E+01
699	3.42E+01
700	1.28E+00
701	4.09E+01
702	1.17E+01
703	3.78E+01
704	8.53E+01
705	1.44E+02
706	3.11E+02
707	4.16E+02
708	3.51E+02
709	4.22E+02
710	2.97E+02
711	2.37E+02
712	4.19E+02
713	3.24E+02
714	1.40E+02
715	8.10E+01
716	4.09E+01
717	2.91E+01
718	4.57E+01
719	3.09E+01
