High Pressure Sodium Vapor	
Date	26.02.2007 (http://spectral.joensuu.fi/database/artlights/readme.txt)
Time	23:40
Integration time [ms]	144
Illuminance[lx]	5512
Irradiance[W/sqm]	10.856
CCT [K]	1765.8
wavelength [nm]	Irradiance[W/(sqm*nm)]
380	0.008977
381	0.0074075
382	0.005838
383	0.0070835
384	0.008329
385	0.0085115
386	0.008694
387	0.009572
388	0.01045
389	0.010695
390	0.01094
391	0.009683
392	0.008426
393	0.010073
394	0.01172
395	0.01199
396	0.01226
397	0.0098575
398	0.007455
399	0.008664
400	0.009873
401	0.011422
402	0.01297
403	0.013485
404	0.014
405	0.0125
406	0.011
407	0.011165
408	0.01133
409	0.011715
410	0.0121
411	0.013085
412	0.01407
413	0.01461
414	0.01515
415	0.014975
416	0.0148
417	0.0158
418	0.0168
419	0.016825
420	0.01685
421	0.01696
422	0.01707
423	0.017145
424	0.01722
425	0.017735
426	0.01825
427	0.01909
428	0.01993
429	0.021285
430	0.02264
431	0.023635
432	0.02463
433	0.02494
434	0.02525
435	0.02597
436	0.02669
437	0.027505
438	0.02832
439	0.02691
440	0.0255
441	0.021975
442	0.01845
443	0.01746
444	0.01647
445	0.01947
446	0.02247
447	0.02936
448	0.03625
449	0.04011
450	0.04397
451	0.03553
452	0.02709
453	0.024745
454	0.0224
455	0.01839
456	0.01438
457	0.013795
458	0.01321
459	0.01573
460	0.01825
461	0.022345
462	0.02644
463	0.036065
464	0.04569
465	0.068965
466	0.09224
467	0.076405
468	0.06057
469	0.043655
470	0.02674
471	0.024585
472	0.02243
473	0.02831
474	0.03419
475	0.031175
476	0.02816
477	0.023865
478	0.01957
479	0.019
480	0.01843
481	0.019115
482	0.0198
483	0.02082
484	0.02184
485	0.02234
486	0.02284
487	0.0243
488	0.02576
489	0.02778
490	0.0298
491	0.03321
492	0.03662
493	0.04956
494	0.0625
495	0.1169
496	0.1713
497	0.20525
498	0.2392
499	0.1727
500	0.1062
501	0.073725
502	0.04125
503	0.037295
504	0.03334
505	0.03208
506	0.03082
507	0.030785
508	0.03075
509	0.031625
510	0.0325
511	0.039035
512	0.04557
513	0.06053
514	0.07549
515	0.071025
516	0.06656
517	0.052955
518	0.03935
519	0.036615
520	0.03388
521	0.034245
522	0.03461
523	0.03544
524	0.03627
525	0.036425
526	0.03658
527	0.037285
528	0.03799
529	0.039
530	0.04001
531	0.040275
532	0.04054
533	0.04146
534	0.04238
535	0.043285
536	0.04419
537	0.045475
538	0.04676
539	0.049125
540	0.05149
541	0.054405
542	0.05732
543	0.064045
544	0.07077
545	0.086535
546	0.1023
547	0.1328
548	0.1633
549	0.1994
550	0.2355
551	0.25545
552	0.2754
553	0.28565
554	0.2959
555	0.3127
556	0.3295
557	0.3529
558	0.3763
559	0.39525
560	0.4142
561	0.43135
562	0.4485
563	0.4909
564	0.5333
565	0.6341
566	0.7349
567	0.8001
568	0.8653
569	0.82325
570	0.7812
571	0.7335
572	0.6858
573	0.6766
574	0.6674
575	0.6802
576	0.693
577	0.6942
578	0.6954
579	0.664
580	0.6326
581	0.5475
582	0.4624
583	0.34895
584	0.2355
585	0.15997
586	0.08445
587	0.06
588	0.03555
589	0.038065
590	0.04058
591	0.08714
592	0.1337
593	0.2376
594	0.3415
595	0.462
596	0.5825
597	0.65165
598	0.7208
599	0.74305
600	0.7653
601	0.7591
602	0.7529
603	0.73185
604	0.7108
605	0.6846
606	0.6584
607	0.6299
608	0.6014
609	0.57705
610	0.5527
611	0.5486
612	0.5445
613	0.56855
614	0.5926
615	0.5689
616	0.5452
617	0.49605
618	0.4469
619	0.41865
620	0.3904
621	0.3746
622	0.3588
623	0.3464
624	0.334
625	0.3244
626	0.3148
627	0.3064
628	0.298
629	0.28945
630	0.2809
631	0.2723
632	0.2637
633	0.2569
634	0.2501
635	0.2431
636	0.2361
637	0.2308
638	0.2255
639	0.22115
640	0.2168
641	0.212
642	0.2072
643	0.2032
644	0.1992
645	0.19495
646	0.1907
647	0.18795
648	0.1852
649	0.18245
650	0.1797
651	0.1769
652	0.1741
653	0.1724
654	0.1707
655	0.16785
656	0.165
657	0.1629
658	0.1608
659	0.1587
660	0.1566
661	0.15495
662	0.1533
663	0.15095
664	0.1486
665	0.147
666	0.1454
667	0.144
668	0.1426
669	0.1405
670	0.1384
671	0.1367
672	0.135
673	0.1334
674	0.1318
675	0.12955
676	0.1273
677	0.1256
678	0.1239
679	0.123
680	0.1221
681	0.12025
682	0.1184
683	0.11685
684	0.1153
685	0.1137
686	0.1121
687	0.11135
688	0.1106
689	0.11005
690	0.1095
691	0.10895
692	0.1084
693	0.1079
694	0.1074
695	0.10685
696	0.1063
697	0.1059
698	0.1055
699	0.10465
700	0.1038
701	0.10315
702	0.1025
703	0.10315
704	0.1038
705	0.10315
706	0.1025
707	0.1019
708	0.1013
709	0.10075
710	0.1002
711	0.099255
712	0.09831
713	0.09847
714	0.09863
715	0.098385
716	0.09814
717	0.09741
718	0.09668
719	0.095555
720	0.09443
721	0.09424
722	0.09405
723	0.09328
724	0.09251
725	0.092195
726	0.09188
727	0.0915
728	0.09112
729	0.09049
730	0.08986
731	0.08966
732	0.08946
733	0.089035
