Low Pressure Sodium Vapor	
Date	16.1.2009
Time	
Integration time [ms]	144
Illuminance[lx]	5512
Irradiance[W/sqm]	10.856
CCT [K]	1765.8
wavelength [nm]	Irradiance[W/(sqm*nm)]
380	0.000444826
381	0.000295593
382	0.00014762
383	3.53989E-05
384	7.12701E-06
385	1.51883E-05
386	4.33277E-05
387	7.45556E-05
388	9.8949E-05
389	9.84007E-05
390	8.74049E-05
391	7.16046E-05
392	6.3695E-05
393	7.68381E-05
394	0.000139817
395	0.000220481
396	0.000296795
397	0.000350863
398	0.000366373
399	0.000349701
400	0.000308611
401	0.000261567
402	0.000227461
403	0.000221067
404	0.000236119
405	0.000259901
406	0.000276324
407	0.000274592
408	0.000246943
409	0.00019953
410	0.000141867
411	8.46271E-05
412	5.21153E-05
413	5.29823E-05
414	5.23922E-05
415	4.75735E-05
416	3.60523E-05
417	3.44613E-05
418	4.9483E-05
419	6.0482E-05
420	6.61885E-05
421	6.80669E-05
422	0.00012742
423	0.000201957
424	0.000272437
425	0.000322021
426	0.000327755
427	0.000295768
428	0.000231096
429	0.000154965
430	8.79644E-05
431	6.60143E-05
432	7.83515E-05
433	9.89143E-05
434	0.000117045
435	0.000124289
436	0.000114614
437	9.14253E-05
438	6.47179E-05
439	4.66995E-05
440	5.37946E-05
441	9.27503E-05
442	0.00014625
443	0.000196297
444	0.00022658
445	0.000233542
446	0.000220117
447	0.000192496
448	0.000161595
449	0.00013858
450	0.000140203
451	0.000143542
452	0.000145907
453	0.000144281
454	0.000137642
455	0.000124287
456	0.000107534
457	9.15577E-05
458	8.15129E-05
459	0.000104028
460	0.000133701
461	0.00016579
462	0.000200661
463	0.000240214
464	0.000283139
465	0.000317135
466	0.000336517
467	0.00033337
468	0.000302709
469	0.000252904
470	0.000197977
471	0.000152239
472	0.000132139
473	0.000152448
474	0.000179982
475	0.000205516
476	0.000220355
477	0.000234571
478	0.000237631
479	0.000226631
480	0.000203693
481	0.00017423
482	0.00013831
483	9.97653E-05
484	6.4731E-05
485	3.09335E-05
486	2.45896E-05
487	3.49903E-05
488	5.35354E-05
489	8.10268E-05
490	0.00013691
491	0.000246804
492	0.000380025
493	0.000525695
494	0.000673063
495	0.000811143
496	0.000926437
497	0.001005636
498	0.001035274
499	0.001002572
500	0.000912235
501	0.00079133
502	0.000664992
503	0.000559746
504	0.000497288
505	0.000462051
506	0.000443208
507	0.000425253
508	0.000393845
509	0.000348244
510	0.000298136
511	0.000254494
512	0.000225227
513	0.000219847
514	0.000224237
515	0.000233508
516	0.000244061
517	0.000253172
518	0.000256418
519	0.000249042
520	0.000228579
521	0.000198932
522	0.000168263
523	0.000137464
524	0.000112143
525	0.000100638
526	0.000113185
527	0.000141014
528	0.000177432
529	0.000215778
530	0.000249888
531	0.000274344
532	0.000284532
533	0.000278655
534	0.000256321
535	0.000220993
536	0.000173005
537	0.000120737
538	7.84566E-05
539	7.10393E-05
540	7.1861E-05
541	7.50516E-05
542	9.39679E-05
543	0.000116721
544	0.000142323
545	0.000165408
546	0.000180532
547	0.000191184
548	0.00019952
549	0.00020482
550	0.00020821
551	0.000215666
552	0.00022611
553	0.000230706
554	0.000221401
555	0.000190126
556	0.000140566
557	0.000107263
558	0.000102184
559	0.000131513
560	0.000288063
561	0.000642032
562	0.001301556
563	0.002376611
564	0.003950334
565	0.005837697
566	0.007688739
567	0.009168947
568	0.009954001
569	0.010067379
570	0.009851092
571	0.009625379
572	0.009767632
573	0.010044595
574	0.009416868
575	0.006794972
576	0.00111252
577	0
578	0
579	0
580	0.005691433
581	0.039912336
582	0.100018752
583	0.193410067
584	0.327359963
585	0.503725214
586	0.702520625
587	0.89387153
588	1.049092992
589	1.14255543
590	1.167294489
591	1.123197176
592	1.011006182
593	0.833706992
594	0.616279279
595	0.394532138
596	0.204990314
597	0.07830472
598	0.014788232
599	0
600	0
601	0.003350079
602	0.005310983
603	0.004584601
604	0.002758101
